Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Alipore,,Tapas Paul,AITC,41719,58.53,Mira Bhowmick,CPM,23201,18518,25.98,51.47
Alipurduars,,Nirmal Das,RSP,66200,52.28,Prasanta Narayan Majumder,AITC,41772,24428,19.29,74.39
Amdanga,,Hashim Abdul Halim,CPM,65534,46.74,Dr. M. Nuruzzaman,AITC,65470,64,0.05,81.07
Amta,,Pratyush Mukherjee,CPM,60363,49.38,Asok Maji,AITC,56929,3434,2.81,79.06
Araidanga,,Sabitri Mitra,INC,53124,49.34,Setara Begum,CPM,48800,4324,4.02,81.26
Arambagh,,Binoy Datta,CPM,127429,78.95,Sk. Hasan Imam,AITC,26963,100466,62.25,82.14
Arsa,,Nishikanta Mehta,FBL,45985,49.26,Ajit Prasad Mahata,JMM,31544,14441,15.47,63.17
Asansol,,Kalyan Banerjee,AITC,51420,47.60,Goutam Roychoudhury,CPM,49207,2213,2.05,57.84
Ashokenagar,,Sarmista Dutta,CPM,64288,45.18,Ashoke Krishna Dutt,AITC,62579,1709,1.20,81.31
Aurangabad,,Humayun Reza,INC,55362,45.16,Nur Mohammad,CPM,49131,6231,5.08,78.06
Ausgram,SC,Kartick Chandra Bag,CPM,81640,64.53,Sukumar Mondal,AITC,35988,45652,36.08,78.42
Baduria,,Qazi Abdul Gaffar,INC,63277,51.26,Sambhu Biswas,CPM,52521,10756,8.71,82.12
Bagdaha,SC,Kamalakshmi Biswas (S/O Kutiswar),FBL,61936,45.65,Dulal Ch. Bar,AITC,61699,237,0.17,85.37
Bagnan,,Nirupama Chatterjee,CPM,61857,48.18,Sabuj Dutta,AITC,58920,2937,2.29,74.27
Baharampur,,Maya Rani Paul,INC,80162,52.50,Kartick Sahana,RSP,50251,29911,19.59,68.42
Balagarh,SC,Dibakanta Routh,CPM,59376,47.35,Lakshmi Parui,AITC,53654,5722,4.56,77.98
Balarampur,,Bhandu Majhi,CPM,51968,58.76,Lambodar Mandi,AITC,24963,27005,30.53,67.45
Bally,,Kanika Ganguly,CPM,92876,72.63,Supriyo Basu,INC,32423,60453,47.28,78.24
Ballygunge,,Rabin Deb,CPM,59931,47.36,Kakoli Ghosh Dastidar,AITC,56582,3349,2.65,57.80
Balurghat,,Choudhury Biswanath,RSP,53945,47.40,Shankar Chakravorti,AITC,51222,2723,2.39,80.73
Banduan,ST,Upendranath Hansda,CPM,48299,54.85,Birsing Murmu,JMM,32403,15896,18.05,66.13
Bankura,,Kashinath Misra,AITC,58809,47.13,Partha De,CPM,56496,2313,1.85,70.75
Bansberia,,Ashutosh Mukhopadhyay,CPM,60818,47.82,Tapan Dasgupta,AITC,60342,476,0.37,77.48
Bara Bazar,,Tapas Roy,AITC,10592,37.51,Md. Asiruddin,RJD,8293,2299,8.14,32.41
Barabani,,Manik Upadhyay,AITC,51986,46.76,Rudranath Mukherjee,CPM,47252,4734,4.26,61.72
Baranagar,,Amar Chaudhuri,RSP,85647,48.08,Atin Ghosh,AITC,83106,2541,1.43,77.88
Barasat,,Ashoke (Gopal) Mukherjee,AITC,107948,47.35,Saral Deb,FBL,101201,6747,2.96,75.25
Barjora,,Susmita Biswas,CPM,64647,51.00,Sudhanghshu Sekhar Tewari,AITC,54826,9821,7.75,75.87
Baruipur,,Arup Bhadra,AITC,71340,47.27,Dr. Sujan Chakraborty,CPM,71335,5,0.00,75.75
Barwan,,Amalendralal Roy,RSP,54314,46.75,Tapas Dasgupta,INC,45645,8669,7.46,72.38
Basanti,SC,Subhas Naskar,RSP,81177,59.17,Jayanta Naskar,AITC,50829,30348,22.12,76.77
Basirhat,,Narayan Mukherjee,CPM,62696,46.43,Souren Sen,AITC,34976,27720,20.53,73.98
Behala Paschim,,Partha Chatterjee,AITC,90409,53.11,Nirmal Mukherjee,CPM,70932,19477,11.44,72.07
Behala Purba,,Parash Dutta,AITC,90190,48.06,Kumkum Chakraborti,CPM,86727,3463,1.85,72.28
Beldanga,,Golam Kibria Mia,INC,64597,55.82,Timir Baran Bhaduri,RSP,39727,24870,21.49,64.89
Belgachia East,,Chakraborti Subhas,CPM,106753,48.06,Sujit Bose,AITC,102309,4444,2.00,71.36
Belgachia West,,Rajdeo Goala,CPM,62016,57.97,Dr. Sudipta Roy,AITC,40414,21602,20.19,76.80
Beliaghata,,Manabendra Mukherjee,CPM,48600,48.19,Ajoy Sanyal,AITC,47103,1497,1.48,67.89
Bhagabangola,,Mojibor Rahaman,WBSP,51285,43.85,Abu Sufian Sarkar,INC,49569,1716,1.47,77.81
Bhagabanpur,,Ardhendu Maity,AITC,57233,49.82,Prasanta Pradhan,CPM,55563,1670,1.45,86.61
Bhangar,,Badal Zamadar,CPM,71578,54.10,Abdus Sattar Mollah,AITC,53298,18280,13.82,83.03
Bharatpur,,Id. Mohammad,RSP,55667,47.51,Debasish Chatterjee,IND,49955,5712,4.87,74.50
Bhatar,,Subhas Mandal,CPM,66902,52.30,Hazra Banamali,AITC,49823,17079,13.35,80.06
Bhatpara,,Arjun Singh,AITC,53467,55.31,Ramprasad Kundu,CPM,36669,16798,17.38,67.09
Bijpur,,Jagadish Chandra Das,CPM,102249,77.97,Jagadish Das,AITC,26229,76020,57.97,84.56
Binpur,ST,Sambhu Nath Mandi,CPM,47132,47.07,Chunibala Hansda,IND,37680,9452,9.44,70.66
Bishnupur East,SC,Dilip Mondal,AITC,54167,50.63,Ananda Biswas,CPM,47586,6581,6.15,77.41
Bishnupur West,,Subrata Bakshi,AITC,61303,49.10,Rathin Sarkar,CPM,54576,6727,5.39,76.39
Bolpur,,Tapan Hore,RSP,64635,53.27,Dr. Sushovan Banerjee,AITC,49202,15433,12.72,78.34
Bongaon,,Pankaj Ghosh,CPM,66561,44.93,Bhupendra Nath Seth,IND,44595,21966,14.83,82.37
Bow Bazar,,Nayna Bandyopadhyay,AITC,27840,55.13,Ajit Pandey,CPM,15891,11949,23.66,43.34
Budge Budge,,Ashok Kumar Deb,AITC,70467,57.03,Kali Bhandari,CPM,47694,22773,18.43,74.45
Burdwan North,,Adhikary Nisith,CPM,95862,62.54,Lakshmi Narayan Nayek,INC,45059,50803,33.14,80.55
Burdwan South,,Nirupam Sen,CPM,92358,53.35,Paresh Chandra Sarkar,AITC,68031,24327,14.05,81.14
Burtola,,Sadhan Pande,AITC,43942,63.76,Kalyan Mukherjee,RSP,18682,25260,36.65,58.33
Canning East,,Abdur Razzak Molla,CPM,82062,70.20,Mujibar Rahaman Kayal,INC,26303,55759,47.70,80.12
Canning Paschim,SC,Gobinda Chandra Naskar,AITC,60581,44.91,Bimal Mistry,CPM,55623,4958,3.68,72.38
Chakdaha,,Satyasadhan Chakraborty,CPM,95980,49.82,Gouri Sankar Dutta,AITC,79480,16500,8.57,81.52
Champdani,,Abdul Mannan,INC,72433,50.12,Kaji Abdul Hai,CPM,57288,15145,10.48,64.55
Chandernagore,,Kamal Mukherjee,INC,65590,48.04,Ratan Lal Dasgupta,CPM,62504,3086,2.26,73.33
Chanditala,,Bhaktaram Pan,CPM,70499,47.55,Amit Mitra,AITC,69663,836,0.56,71.55
Chandrakona,SC,Gurupada Dutta,CPM,88230,62.08,Kushari Prabir,AITC,46689,41541,29.23,86.09
Chapra,,Shamsul Islam Mollah,CPM,57941,44.88,Julfikar Khan,AITC,53913,4028,3.12,81.47
Chhatna,,Subhas Goswami,RSP,44952,47.65,Swapan Mondal,AITC,29467,15485,16.42,64.41
Chinsurah,,Naren Dey,FBL,70104,48.02,Robin Mukherjee,AITC,68259,1845,1.26,76.67
Chopra,,Hamidul Rahaman,IND,54954,47.37,Akbar Ali,CPM,53843,1111,0.96,82.33
Chowringhee,,Subrata Mukherjee,AITC,39728,66.58,Zahid Hossain,JD(S),14367,25361,42.50,42.14
Contai North,,Jyotirmoy Kar,AITC,62769,49.32,Chakradhar Maikap,CPM,62288,481,0.38,86.18
Contai South,,Adhikary Sisir,AITC,62786,52.63,Sukhendu Maiti,CPI,49231,13555,11.36,79.88
Cooch Behar North,,Dipak Chandra Sarker,FBL,57170,46.88,Mihir Goswami,AITC,38813,18357,15.05,77.47
Cooch Behar West,,Akshoy Thakur,FBL,74713,54.67,Soumendra Chandra Das,AITC,43834,30879,22.59,80.79
Cossipur,,Bandyopadhyay Tarak,AITC,33837,51.29,Bijoy Bhattacharjee,CPM,28061,5776,8.76,62.53
Dantan,,Nandagopal Bhattacharya,CPI,71472,57.24,Bikram Chandra Pradhan,AITC,39690,31782,25.45,79.79
Darjeeling,,D.K. Pradhan,GNLF,66839,63.49,Sawan Rai,IND,21576,45263,42.99,60.59
Daspur,,Ajit Bhunia,AITC,58202,50.49,Chittaranjan Mukhopadhyay,CPM,53883,4319,3.75,79.61
Debra,,Sk. Jahangir Karim,CPM,66489,51.37,Radha Kanta Maiti,AITC,57969,8520,6.58,88.01
Deganga,,Md. Yakub,FBL,53993,46.03,Abdur Rouf,AITC,28115,25878,22.06,78.75
Dhakuria,,Sougata Ray,AITC,62059,48.97,Kshiti Goswami,RSP,57427,4632,3.65,67.76
Dhaniakhali,SC,Kripa Sindhu Saha,FBL,76506,58.12,Asima Patra,AITC,49982,26524,20.15,84.15
Dhupguri,SC,Lakshmi Kanta Roy,CPM,53537,46.19,Ashoke Kumar Barman,AITC,30691,22846,19.71,80.99
Diamond Harbour,,Rishi Haldar,CPM,50648,41.60,Amjad Ali Sardar,AITC,47906,2742,2.25,70.97
Dinhata,,Kamal Guha,FBL,72887,53.05,Dipak Sengupta,AITC,53167,19720,14.35,78.07
Domjur,,Padma Nidhi Dhar,CPM,94502,51.95,Brajamohan Majumder,AITC,78258,16244,8.93,70.67
Domkal,,Anisur Rahaman Sarkar,CPM,78151,52.83,Rejaul Karim (Manik),INC,65042,13109,8.86,82.19
Dubrajpur,SC,Bhakti Pada Ghosh,FBL,71306,59.85,Sattick Roy,AITC,38361,32945,27.65,76.67
Dum Dum,,Arunava Ghosh,AITC,81228,46.70,Ajit Chowdhury,CPM,81004,224,0.13,74.45
Durgapur-I,,Mrinal Banerjee,CPM,53220,51.04,Chandra Sekhar Banerjee,INC,43294,9926,9.52,63.67
Durgapur-II,,Apurba Mukherjee,AITC,93840,49.48,Debabrata Banerjee,CPM,84361,9479,5.00,70.65
Egra,,Sinha Prabodh Chandra,IND,63032,49.21,Tapan Kanti Kar,AITC,59515,3517,2.75,84.44
English Bazar,,Samar Roy,CPM,50507,38.49,Goutam Chakraborty,INC,38557,11950,9.11,77.34
Entally,,Md. Salim,CPM,44720,51.65,Sultan Ahmed,AITC,38490,6230,7.20,55.89
Falakata,SC,Jogesh Chandra Barman,CPM,61000,50.68,Anil Adhikary,AITC,43977,17023,14.14,78.21
Falta,,Tamonash Ghosh,AITC,43697,43.55,Malina Mistry,CPM,41559,2138,2.13,72.24
Farakka,,Mainul Haque,INC,57193,50.54,Mir Tarekul Islam,CPM,46006,11187,9.89,75.31
Gaighata,SC,Jyotipriya Mallick,AITC,85652,52.17,Manmatha Roy,CPM,73962,11690,7.12,84.91
Gajol,ST,Sadhu Tudu,CPM,56214,48.49,Nabakumar Hembrom,AITC,36506,19708,17.00,77.05
Galsi,SC,Mehbub Mondal,FBL,73484,60.82,Ajijul Haque Mondal,INC,41491,31993,26.48,79.03
Gangajalghati,SC,Bauri Ramcharan,CPM,58864,55.05,Swapan Bouri,AITC,36754,22110,20.68,69.70
Gangarampur,SC,Narayan Biswas,CPM,76883,48.02,Biplab Mitra,AITC,70767,6116,3.82,83.27
Garden Reach,,Amin Mohammed,CPM,77681,60.72,Fazle Azim Molla,AITC,45757,31924,24.95,71.93
Garhbeta East,,Susanta Ghosh,CPM,96740,78.25,Md. Rafique,AITC,21329,75411,61.00,86.05
Garhbeta West,SC,Krishna Prasad Duley,CPM,92856,73.47,Kalipada Duley,BJP,17717,75139,59.45,86.35
Ghatal,SC,Ratan Pakhira,CPM,68464,55.15,Gopal Karak,AITC,49129,19335,15.58,78.94
Goalpokhar,,Hafiz Alam Sairani,FBL,47999,44.20,Deepa Dasmunshi,INC,46295,1704,1.57,62.60
Goghat,SC,Shiba Prasad Malick,FBL,119236,79.18,Haradhan Santra,INC,22427,96809,64.28,84.94
Gopiballavpur,,Bhabani Sankar Hatial,CPM,67738,60.23,Samay Mandi,AITC,28618,39120,34.78,78.73
Gosaba,SC,Ganesh Mondal,RSP,55333,51.93,Sujit Pramanik,AITC,40161,15172,14.24,74.47
Habibpur,ST,Jadu Hemrom,CPM,43992,46.42,Ramlal Hansda,BJP,25798,18194,19.20,67.50
Habra,,Tapati Dutta,AITC,69229,46.13,Amitava Nandi,CPM,65494,3735,2.49,80.31
Hansan,,Asit Kumar Mal,INC,55621,52.55,Mihir Bain,RCPI(R),41858,13763,13.00,78.98
Hanskhali,SC,Nayan Sarkar,CPM,72334,45.80,Abir Ranjan Biswas,AITC,69813,2521,1.60,84.17
Haora,,Kshiti Ranjan Mondal,CPM,78749,58.41,Lakshmikanta Mandal,INC,43489,35260,26.15,81.33
Hariharpara,,Niamot Sk.,IND,62959,45.66,Nizamuddin,CPM,50479,12480,9.05,81.19
Haringhata,SC,Bankim Ghosh,CPM,72000,43.89,Saradindu Biswas,AITC,65628,6372,3.88,80.46
Haripal,,Kaliprasad Biswas,CPM,71724,55.52,Samiran Mitra,AITC,50708,21016,16.27,81.42
Harishchandrapur,,Alam Mostaque,INC,60545,48.64,Birendra Kumar Maitra (Bishubabu),FBL,58243,2302,1.85,82.05
Hasnabad,,Gautam Deb,CPM,56573,49.67,Rafiqul Islam Mondal,AITC,52592,3981,3.50,82.50
Hingalganj,SC,Gayen Nripen,CPM,62441,54.06,Sourendra Mondal,AITC,44186,18255,15.81,79.43
Hirapur,,Malay Ghatak,AITC,43226,46.53,Dilip Ghosh (Khayruddin Block),IND,20692,22534,24.26,58.13
Howrah Central,,Ambica Banerjee,AITC,47222,55.89,Subir Ranjan Das,CPM,27834,19388,22.95,59.29
Howrah North,,Lagan Deo Singh,CPM,103410,71.03,Asok Ghosh,INC,31795,71615,49.19,75.60
Howrah South,,Badal Basu,CPM,55159,52.49,Arup Roy,AITC,46708,8451,8.04,64.86
Hura,,Abinas Mahata,CPM,50734,50.61,Bikash Chandra Mahato,AITC,34345,16389,16.35,69.90
Indas,SC,Nanda Dulal Majhi,CPM,78213,62.30,Purnima Lohar,AITC,37226,40987,32.65,82.64
Indpur,SC,Kiriti Bagdi,CPI,60265,60.11,Madan Bouri,AITC,26963,33302,33.21,67.98
Islampur,,Abdul Karim Chowdhary,AITC,50785,45.98,Md. Faruque Azam,CPM,48727,2058,1.86,68.34
Itahar,,Srikumar Mukherjee,CPI,54605,42.26,Abedin Dr. Zainal,NCP,34839,19766,15.30,82.96
Jadavpur,,Buddhadev Bhattacharjee,CPM,110011,54.60,Madhabi Mukherjee,AITC,80730,29281,14.53,75.56
Jagatballavpur,,Biman Chakrabarty,AITC,64095,46.02,M. Ansaruddin,CPM,63488,607,0.44,73.42
Jagatdal,,Haripada Biswas,FBL,70143,52.03,Mukul Roy,AITC,56741,13402,9.94,80.57
