Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Jaipur,,Shanti Ram Mahato,INC,48210,47.32,Bindeswar Mahato,FBL,47353,857,0.84,67.42
Jalangi,,Unus Ali Sarkar,CPM,69288,47.82,Subrata Saha,INC,62463,6825,4.71,81.03
Jalpaiguri,SC,Gobinda Roy,FBL,50659,46.71,Anupam Sen,AITC,48077,2582,2.38,77.28
Jamalpur,SC,Samar Hazra,CPM,84408,58.92,Ajay Pramanick,AITC,56032,28376,19.81,82.82
Jamuria,,Pelab Kabi,CPM,79581,70.88,Shiudashan Nayar,AITC,24209,55372,49.32,65.67
Jangipara,,Ibha Dey,CPM,65575,49.53,Shahzabin Khan Munshi,AITC,59278,6297,4.76,77.87
Jangipur,,Abul Hasnat,RSP,49132,42.78,Habibur Rahaman,IND,30068,19064,16.60,69.71
Jhalda,,Nepal Mahato,IND,48568,49.21,Satya Ranjan Mahato,FBL,35091,13477,13.65,66.67
Jhargram,,Mina Sanatani,CPM,57537,45.66,Bangal Makhan Lal,AITC,29819,27718,22.00,73.42
Jorabagan,,Sudhangshu Seal,CPM,18738,41.53,Sanjoy Bakshi,AITC,16336,2402,5.32,44.83
Jorasanko,,Satya Narayan Bajaj,AITC,14847,38.96,Shyam Sundar Gupta,FBL,14069,778,2.04,46.58
Joynagar,,Debaprasad Sarkar,IND,49534,40.14,Abul Hossain Laskar,CPM,33853,15681,12.71,74.24
Kabitirtha,,Ram Pyare Ram,INC,45997,53.53,Moinuddin Shams,FBL,33167,12830,14.93,47.75
Kakdwip,,Manturam Pakhira,AITC,58872,47.93,Ashok Giri,CPM,58367,505,0.41,82.24
Kalchini,ST,Paban Kumar Lakra,INC,43749,44.11,Mahonar Tirkey,RSP,38815,4934,4.97,68.79
Kaliachak,,Abu Hasem Khan Chowdhury,INC,65540,48.64,Biswanath Ghosh,CPM,58176,7364,5.46,80.23
Kaliaganj,SC,Pramathanath Roy,INC,57697,44.07,Ramani Kanta Deb Sarma,CPM,54572,3125,2.39,81.83
Kaliganj,,Dhananjoy Modak,RSP,44328,36.69,Abdus Salam Munshi,AITC,31806,12522,10.36,74.89
Kalimpong,,Goulan Lepcha,GNLF,51983,57.67,Norden Lama,IND,26979,25004,27.74,59.55
Kalna,SC,Anju Kar,CPM,79401,54.29,Banerjee Sridhar,AITC,54448,24953,17.06,87.48
Kalyanpur,,Asit Mitra,INC,53785,48.29,Rabindranath Mitra,CPM,53012,773,0.69,74.67
Kamarhati,,Manas Mukherjee,CPM,70802,52.00,Chitta Ranjan Bag,AITC,55290,15512,11.39,74.98
Kandi,,Atish Chandra Sinha,INC,64060,51.27,Chandan Sen,CPI,37100,26960,21.58,68.97
Kanksa,SC,Ankure Saresh,CPM,74880,59.97,Himangshu Kumar Mondal,INC,36478,38402,30.75,75.57
Karandighi,,Gokul Roy,FBL,61543,44.38,Haji Sajjad Hussain,INC,50704,10839,7.82,69.64
Karimpur,,Prafulla Kumar Bhowmick,CPM,62398,46.82,Chira Ranjan Mondal,AITC,55580,6818,5.12,80.68
Kashipur,,Rabindranath Hembram,CPM,48632,53.36,Buddheswar Saren,AITC,32160,16472,18.07,68.04
Katwa,,Rabindranath Chatterjee,INC,77952,53.48,Kanak Kanti Goswami,CPM,61133,16819,11.54,80.31
Keshiari,ST,Maheswar Murmu,CPM,76278,60.85,Shyam Mandi,AITC,35231,41047,32.75,82.51
Keshpur,SC,Nanda Rani Dal,CPM,120566,90.64,Rajani Kanta Doloi,AITC,12454,108112,81.27,85.53
Ketugram,,Tamal Chandra Majhi,CPM,63710,51.34,Amar Ram,INC,50061,13649,11.00,78.83
Khajuri,SC,Sunirmal Paik,WBSP,63311,54.68,Ramchandra Mandal,AITC,46497,16814,14.52,86.03
Khanakul,,Banshi Badan Maitra,CPM,97307,70.09,Tarapada Dolui,AITC,34933,62374,44.92,79.13
Khandaghosh,SC,Jyotsna Singh,CPM,81195,65.43,Banshi Badan Roy,AITC,35542,45653,36.79,82.37
Kharagpur Rural,,Nazmul Haque,CPM,66874,52.51,Ajit Kr. Maity (S/O Purna Chandra),AITC,44850,22024,17.29,74.85
Kharagpur Sadar,,Gyan Singh Sohanpal,INC,36987,46.85,Lalji Pandey,CPM,24923,12064,15.28,53.60
Kharba,,Mahabubul Haque (Badal),INC,56819,49.38,Nazmul Hoque,CPM,48395,8424,7.32,75.59
Khardah,,Asim Kumar Dasgupta,CPM,91104,53.46,Ranjit Kumar Mukherjee,AITC,67360,23744,13.93,80.60
Khargram,SC,Biswanath Mondal,CPM,58770,48.90,Madhab Chandra Marjit,INC,53099,5671,4.72,71.93
Kotulpur,,Ghose Manasi,CPM,94207,68.51,Das Sunil,AITC,34377,59830,43.51,84.59
Kranti,,Sudhan Raha,CPM,51475,47.37,Aburabbani Ahmed (Badsha),AITC,31204,20271,18.65,79.46
Krishnaganj,SC,Sushil Biswas,CPM,53395,44.82,Bidhan Chandra Poddar,AITC,52854,541,0.45,80.41
Krishnagar East,,Mukherjee Shibdas,AITC,71489,52.37,Radhanath Biswas,CPM,55148,16341,11.97,77.26
Krishnagar West,,Sunil Kumar Ghosh,CPM,51909,45.26,Ujjal Biswas,AITC,44661,7248,6.32,81.35
Kulpi,,Jagaranjan Haldar,AITC,51045,49.03,Sakuntala Paik,CPM,46966,4079,3.92,73.01
Kultali,SC,Prabodh Purkait,IND,60029,46.87,Ram Sankar Halder,CPM,55761,4268,3.33,76.94
Kulti,,Acharya Maniklal,FBL,44296,46.65,Suhrid Basumallick,AITC,41826,2470,2.60,51.72
Kumarganj,,Khatun Mafuja,CPM,69669,49.01,Nani Gopal Roy,AITC,56379,13290,9.35,82.19
Kumargram,ST,Dasrath Tirkey,RSP,60966,54.98,Paresh Chandra Das,AITC,27782,33184,29.92,75.95
Kurseong,,Shanta Chettri,GNLF,55630,53.29,Tulsi Bhattrai,CPM,24729,30901,29.60,60.81
Kushmundi,SC,Narmada Chandra Roy,RSP,61600,48.40,Jitendra Nath Sarkar,AITC,52705,8895,6.99,80.96
Labpur,,Nabanita Mukherjee,CPM,59011,54.53,Arup Kumar Misra,AITC,40306,18705,17.28,77.03
Lalgola,,Abu Hena,INC,62034,51.95,Md. Johaque Ali,CPM,52900,9134,7.65,76.60
Madarihat,ST,Kumari Kujur,RSP,60412,60.25,Narendra Nath Karjee,AITC,18905,41507,41.40,71.13
Magrahat Paschim,,Noorar Rahaman,CPM,49745,46.09,Giasuddin Molla,AITC,38167,11578,10.73,68.18
Magrahat Purba,SC,Bansari Mohan Kanji,CPM,57680,47.59,Namita Saha,AITC,56400,1280,1.06,74.22
Mahammad Bazar,,Dhiren Sen,CPM,57607,51.52,Sailen Mahata,AITC,40794,16813,15.04,70.89
Maheshtala,,Mursalin Molla,CPM,72425,52.50,Biman Banerjee,AITC,60209,12216,8.86,75.25
Mahishadal,,Dipak Kumar Ghosh,AITC,60118,50.55,Dr. Subrata Maiti,CPM,52220,7898,6.64,84.79
Mainaguri,SC,Bachchamohan Roy,RSP,55238,45.90,Purnaprabha Barman,AITC,37699,17539,14.57,79.02
Mal,ST,Somra Lakra,CPM,53683,51.50,Shyam Bhagat,INC,40811,12872,12.35,73.07
Maldaha,SC,Subhendu Chowdhury,CPM,59910,44.57,Phanibhusan Roy,AITC,49442,10468,7.79,77.61
Manbazar,ST,Mahata Shamyapyari,CPM,54162,50.49,Sitaram Mahato,AITC,47678,6484,6.04,72.54
Mandirbazar,SC,Choudhury Mohan Jatua,AITC,59492,49.10,Nikunja Paik,CPM,52618,6874,5.67,74.61
Mangalkote,,Sadhana Mallik,CPM,62235,53.21,Chandranath Mukherjee,AITC,48022,14213,12.15,76.08
Manicktola,,Paresh Paul,AITC,59626,49.57,Shyamal Chakraborty,CPM,54117,5509,4.58,67.84
Manikchak,,Asima Chowdhuri,CPM,48239,48.89,Ram Probesh Mandal,INC,39855,8384,8.50,72.00
Manteswar,,Abu Ayes Mondal,CPM,64896,52.49,Narayan Hazra Choudhury,AITC,47998,16898,13.67,78.20
Mathabhanga,SC,Dinesh Chandra Dakua,CPM,68340,53.86,Binoy Krishna Barman,AITC,41375,26965,21.25,83.29
Mathurapur,,Kanti Ganguly,CPM,64609,46.43,Satya Ranjan Bapuli,AITC,62228,2381,1.71,80.83
Mayureswar,,Bishnu Let,CPM,54116,52.66,Kestopada Bagdi,AITC,26630,27486,26.75,74.32
Medinipur,,Purnendu Sengupta,CPI,71188,49.17,Gouri Ghosh,AITC,63233,7955,5.49,75.29
Mekliganj,SC,Paresh Chandra Adhikary,FBL,65351,51.18,Ramesh Roy,AITC,48318,17033,13.34,85.51
Memari,,Chattopadhdyay Tapas,CPM,89769,56.13,Syed Mustaque Murshed,AITC,57332,32437,20.28,82.61
Moyna,,Dipak Bera,CPM,66292,49.02,Bhusan Chandra Dolai,AITC,60840,5452,4.03,85.32
Mugberia,,Kiranmay Nanda,WBSP,64415,50.58,Adhikari Suvendu,AITC,59724,4691,3.68,90.49
Murarai,,Dr. Qamre Elahi,CPM,52186,46.63,Dr. Motahar Hossain,AITC,50205,1981,1.77,79.70
Murshidabad,,Chhaya Ghosh,FBL,69572,46.85,Mannan Hossain,IND,46578,22994,15.48,79.59
Nabadwip,,Pundarikakshya Saha,AITC,59466,49.45,Jamuna Brahmachari,CPM,51519,7947,6.61,80.17
Nabagram,SC,Nripen Chaudhuri,CPM,65609,49.46,Arit Majumder,INC,57957,7652,5.77,80.86
Nadanghat,,Ratan Das,CPM,69817,43.69,Swapan Debnath,AITC,67619,2198,1.38,86.03
Nagrakata,ST,Chaitan Munda,CPM,60287,52.76,Ganesh Oraon,AITC,33180,27107,23.72,70.87
Naihati,,Ranjit Kundu,CPM,77593,57.23,Adhikari Tarun,AITC,48937,28656,21.14,82.00
Nakashipara,,Kallol Khan,AITC,51301,41.69,Sekh Khabir Uddin Ahamed,CPM,47948,3353,2.72,79.49
Nalhati,,Kalimuddin Shams,FBL,49076,47.41,Sarif Hossain (Dalim Master),INC,45942,3134,3.03,74.70
Nandanpur,,Saumen Mahapatra,AITC,56561,48.05,Omar Ali,CPM,55276,1285,1.09,84.97
Nandigram,,Illiyas Mahammad Sk.,CPI,67544,51.50,Sunil Baran Maiti,AITC,59540,8004,6.10,81.38
Nanoor,SC,Anand Gopal Das,CPM,65520,54.07,Krishnagopal Majhi,AITC,52073,13447,11.10,78.50
Naoda,,Abu Taher Khan,IND,57613,44.40,Jayanta Kumar Biswas,RSP,54243,3370,2.60,73.89
Narayangarh,,Surjya Kanta Mishra,CPM,75612,54.19,Salil Kr. Das Pattanayak,AITC,48699,26913,19.29,84.54
Narghat,,Brahmamoy Nanda,WBSP,67396,49.14,Amiya Kanti Bhattacharjee,AITC,64769,2627,1.92,87.52
Natabari,,Tamser Ali,CPM,59779,48.49,Rabindranath Ghosh,AITC,51525,8254,6.69,86.35
Nayagram,ST,Bhutnath Saren,CPM,56753,56.56,Mangal Hansda,JMM,43587,13166,13.12,76.82
Noapara,,Manju Basu,AITC,50318,50.21,Madan Mohan Nath,CPM,45872,4446,4.44,78.90
Onda,,Anil Mukherjee,FBL,74256,60.11,Sk. Sajahan,INC,42850,31406,25.42,73.69
Palashipara,,Kamalendu Sanyal,CPM,57176,43.01,Tapas Kumar Saha,AITC,55595,1581,1.19,80.32
Panchla,,Sri Sailen Mondal,FBL,59986,48.15,Sk. Nazrul Islam,AITC,32170,27816,22.33,68.75
Pandua,,Ali Sk. Majed,CPM,76613,53.56,Sailen Chattopadhyay,AITC,59466,17147,11.99,77.93
Panihati,,Nirmal Ghosh,AITC,77726,51.33,Kamal Sengupta Basu,CPM,63838,13888,9.17,72.60
Panskura East,,Biplab Ray Chowdhury,AITC,64805,47.88,Sisir Sarkar,CPM,62499,2306,1.70,83.51
Panskura West,,Chittaranjan Dasthakur,CPI,64940,50.33,Jakiur Rahaman Khan,AITC,58590,6350,4.92,82.40
Para,SC,Bilasibala Sahis,CPM,61077,57.58,Mira Bauri,AITC,35085,25992,24.50,66.45
Pataspur,,Kamakhyanandan Dasmahapatra,CPI,69069,50.92,Mrinal Kanti Das,AITC,60011,9058,6.68,88.61
Patharpratima,,Jajneswar Das,CPM,56475,46.99,Samir Jana,AITC,55620,855,0.71,81.00
Phansidewa,ST,Prakash Minj,CPM,77507,47.45,Mamla Kujur,INC,48870,28637,17.53,71.86
Pingla,,Ramapada Samanta,IND,77342,67.88,Raj Kumar Das,AITC,29772,47570,41.75,80.81
Polba,,Sakti Pada Khanra,CPM,66234,51.88,Azizur Rahman,AITC,58470,7764,6.08,80.84
