Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Panchla,,Doli Roy,AIFB,64274,47.80,Abul Kasem Molla,AITC,38771,25503,18.96,75.24
Pandua,,Sekh Majed Ali,CPI(M),90516,60.62,Alam Kazi Rowshan ( Badsha ),AITC,44858,45658,30.58,85.68
Panihati,,Gopal Krishna Bhattacharyya,CPI(M),75466,48.05,Nirmal Ghosh,AITC,71620,3846,2.45,80.40
Panskura East,,Amiya Kumar Sahoo,CPI(M),72858,49.64,Biplab Ray Chowdhury,AITC,65998,6860,4.67,88.13
Panskura West,,Chittaranjan Dasthakur,CPI,77525,57.25,Jaidul Khan,AITC,50539,26986,19.93,85.92
Para,SC,Bilasibala Sahis .,CPI(M),62165,52.65,Sima Bauri,AITC,26890,35275,29.87,77.30
Pataspur,,Kamakhyanandan Dasmahapatra,CPI,72327,50.39,Kar Tapan Kanti,AITC,65402,6925,4.82,92.19
Patharpratima,,Jajneswar Das,CPI(M),60812,46.91,Samir Kumar Jana,AITC,51371,9441,7.28,87.71
Phansidewa,ST,Kisku Chhotan,CPI(M),93689,50.22,Mamla Kujur,INC,58185,35504,19.03,84.45
Pingla,,Rampada Samanta,DSP(P),74393,57.05,Hrishikesh Dinda,AITC,44664,29729,22.80,89.81
Polba,,Shaktipada Khanra,CPI(M),73959,55.85,Sk. Sahadat Ali,AITC,38390,35569,26.86,84.69
Purbasthali,,Subrata Bhowal,CPI(M),71213,50.03,Ansar Mondal,AITC,55178,16035,11.26,87.46
Pursurah,,Saumendranath Bera,CPI(M),84289,59.39,Sk.Parvez Rahman,AITC,49327,34962,24.64,89.60
Purulia,,Nikhil Mukherjee,CPI(M),62854,50.03,Dr.Sukumar Roy,INC,46852,16002,12.74,75.49
Raghunathpur,SC,Uma Rani Bouri,CPI(M),52027,53.02,Purna Chandra Bouri,AITC,29232,22795,23.23,73.38
Raiganj,,Chitta Ranjan Ray,INC,77789,46.70,Dilip Kumar Das,NCP,62029,15760,9.46,81.72
Raina,SC,Swapan Samanta,CPI(M),91990,66.43,Nityananda Tah,AITC,34334,57656,41.63,88.51
Raipur,ST,Upen Kisku,CPI(M),72397,54.72,Bibhabati Tudu,AITC,46496,25901,19.58,82.76
Rajarhat,SC,Rabindranath Mandal,CPI(M),118430,50.26,Tanmoy Mondal,AITC,101621,16809,7.13,82.10
Rajganj,SC,Mahendra Kumar Roy,CPI(M),109548,51.67,Khageswar Roy,AITC,60076,49472,23.33,83.22
Rajnagar,SC,Bijoy Bagdi,AIFB,69021,61.42,Seuli Saha,AITC,36584,32437,28.87,79.97
Ramnagar,,Swadesh Ranjan Nayak,CPI(M),81057,51.41,Akhil Giri,AITC,72230,8827,5.60,88.36
Rampurhat,,Asish Banerjee,AITC,62223,47.86,Nirad Baran Mandal,AIFB,54070,8153,6.27,81.92
Ranaghat East,SC,Debendra Nath Biswas,CPI(M),98559,50.33,Nilima Nag (Mallick),AITC,88446,10113,5.16,88.89
Ranaghat West,,Aloke Kumar Das,CPI(M),76109,42.58,Shankar Singha,INC,75928,181,0.10,89.39
Ranibandh,ST,Deblina Hembram,CPI(M),52827,45.35,Aditya Kisku,JKP(N),41937,10890,9.35,80.13
Raniganj,,Haradhan Jha,CPI(M),71981,68.29,Jitendra Tiwari,AITC,21810,50171,47.60,75.25
Rashbehari Avenue,,Sobhandeb Chattopadhyay,AITC,34800,54.50,Mala Roy,INC,12917,21883,34.27,59.14
Ratua,,Sailen Sarkar,CPI(M),54620,48.37,Asit Bose (Bachchu),INC,49587,5033,4.46,79.14
Sabang,,Manas Ranjan Bhunia,INC,68592,49.70,Tushar Kanti Laya,CPI(M),62079,6513,4.72,94.19
Sagar,,Milan Parua,CPI(M),79764,49.45,Bankim Chandra Hazra,AITC,71451,8313,5.15,91.76
Sagardighi,,Parikshit Let,CPI(M),62983,48.62,Rajesh Kumar Bhakat,INC,56920,6063,4.68,84.15
Salbani,,Khagendra Nath Mahata,CPI(M),67541,54.71,Uttara Singha (Hazra),AITC,44797,22744,18.42,89.70
Sandeshkhali,ST,Abani Roy,CPI(M),69859,53.97,Gita Mondal,AITC,49867,19992,15.44,85.41
Sankrail,SC,Sital Kumar Sardar,AITC,66551,44.76,Anirban Hazra,CPI(M),66438,113,0.08,76.84
Santipur,,Ajoy Dey,INC,89834,47.78,Santanu Chakrabarti,CPI(M),87721,2113,1.12,92.61
Satgachhia,,Sonali Guha (Bose),AITC,64322,48.01,Kabita Kayal,CPI(M),57526,6796,5.07,82.95
Sealdah,,Somendra Nath Mitra,INC,23011,58.53,Prabir Deb,CPI,10252,12759,32.45,60.34
Shibpur,,Dr. Jagannath Bhattacharyya,AIFB,92894,46.39,Jatu Lahiri,AITC,83335,9559,4.77,74.29
Shyampukur,,Jiban Prakash Saha,AIFB,26382,52.53,Samik Bhattacharya,BJP,16304,10078,20.07,64.68
Shyampur,,Kali Pada Mandal,AITC,66654,48.08,Asit Baran Sau,AIFB,62913,3741,2.70,81.50
Siliguri,,Asok Bhattacharya,CPI(M),117943,55.44,Nantu Paul,INC,42972,74971,35.24,78.56
Singur,,Rabindranath Bhattacharjee,AITC,68911,47.92,Srikanta Chattopadhyay,CPI(M),67124,1787,1.24,83.17
Sitai,SC,Dr. Md. Fazle Haque,INC,72184,47.30,Nripendra Nath Roy,AIFB,67289,4895,3.21,83.35
Sitalkuchi,SC,Harish Chandra Barman,CPI(M),75093,52.74,Lalit Chandra Pramanik,AITC,56226,18867,13.25,88.70
Sonamukhi,SC,Niresh Bagdi,CPI(M),69455,56.39,Dipali Saha,AITC,37751,31704,25.74,85.02
Sonarpur,SC,Shyamal Naskar,CPI(M),113146,48.65,Nirmal Ch. Mandal,AITC,105126,8020,3.45,79.90
Sreerampur,,Dr. Ratna De (Nag),AITC,40133,39.74,Dhirendra Nath Das Gupta,CPI,31958,8175,8.09,66.88
Suri,,Tapan Roy,CPI(M),68545,48.51,Swapan Kanti Ghosh,INC,48170,20375,14.42,84.11
Sutahata,SC,Nityananda Bera,CPI(M),108033,56.77,Tushar Kanti Mandal,AITC,70754,37279,19.59,90.93
Suti,,Jane Alam Mian,RSP,61605,46.90,Md. Sohrab,INC,56272,5333,4.06,83.25
Suzapur,,Rubi Noor,INC,62869,53.56,Hamidur Rahman,CPI(M),45229,17640,15.03,79.99
Swarupnagar,SC,Mostafa Bin Quasem,CPI(M),67889,46.68,Narayan Goswami,AITC,61337,6552,4.51,87.67
Taldangra,,Manoranjan Patra,CPI(M),82991,61.26,Manik Mitra,AITC,32632,50359,37.17,84.90
Taltola,SC,Debesh Das,CPI(M),39618,49.33,Sumanta Kumar Hira,AITC,25129,14489,18.04,66.14
Tamluk,,Mitra Jagannath,CPI,74425,49.00,Chitta Ranjan Maiti,AITC,63485,10940,7.20,89.49
Tapan,ST,Khara Soren,RSP,74414,56.77,Columbus Tirki,BJP,29592,44822,34.19,88.30
Tarakeswar,,Pratim Chatterjee,IND,74849,58.10,Krishna Bhattacharjee,BJP,44578,30271,23.50,87.55
Titagarh,,Dr. Pravin Kumar,CPI(M),32331,43.00,Meena Ghosh,AITC,31515,816,1.09,70.21
Tollygunge,,Aroop Biswas,AITC,46378,46.67,Partha Pratim Biswas,CPI(M),45852,526,0.53,69.30
Tufanganj,,Alaka Barman,CPI(M),74243,54.58,Malati Rava (Ray),BJP,49026,25217,18.54,90.70
Udaynarayanpur,,Chandra Lekha Bag,CPI(M),62943,49.91,Samir Kumar Panja,AITC,38665,24278,19.25,84.10
Ukhra,SC,Madan Bauri,CPI(M),90852,66.00,Upender Paswan,JD(U),22207,68645,49.87,66.46
Uluberia North,SC,Mohan Mondal,CPI(M),62896,48.90,Gopal Dolui,AITC,45283,17613,13.69,75.20
Uluberia South,,Rabindra Ghosh,AIFB,57699,42.71,Pulak Roy,AITC,55688,2011,1.49,78.96
Uttarpara,,Prof. Dr. Srutinath Praharaj,CPI(M),73149,48.44,Sudipta Roy,AITC,72264,885,0.59,74.96
Vidyasagar,,Anadi Kumar Sahu,CPI(M),28992,49.69,Pryal Chaudhury,INC,14416,14576,24.98,59.60
Vishnupur,,Swapan Ghosh,CPI(M),76334,59.00,Subhasis Batabayal,AITC,27655,48679,37.63,85.66
