Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Champdani,,Jibesh Chakraborty,CPI(M),61090,38.91,Abdul Mannan,INC,53040,8050,5.13,73.80
Chandernagore,,Sibaprosad (Ratan) Bandyopadhyay,CPI(M),64406,45.65,Ram Chakrabortty,AITC,46816,17590,12.47,75.04
Chanditala,,Bhaktaram Pan,CPI(M),83078,51.03,Swati Khandoker,AITC,68309,14769,9.07,80.35
Chandrakona,SC,Gurupada Dutta,CPI(M),96276,61.36,Lakshmipriya Mondal,AITC,44735,51541,32.85,92.03
Chapra,,Shamsul Islam Mollah,CPI(M),73290,47.76,Abdur Rashid Mollick,INC,46992,26298,17.14,87.89
Chhatna,,Anath Bandhu Mondal,RSP,53751,52.04,Mahasweta Mondal,AITC,36300,17451,16.89,75.07
Chinsurah,,Naren Dey,AIFB,79678,51.99,Ashis Sen,AITC,55877,23801,15.53,79.43
Chopra,,Anwarul Haque,CPI(M),69663,50.96,Hamidul Rahaman,INC,62065,7598,5.56,88.17
Chowringhee,,Subrata Bakshi,AITC,23000,38.19,Narayan Jain,CPI(M),20790,2210,3.67,50.98
Contai North,,Chakradhar Maikap,CPI(M),67376,48.30,Jyotirmoy Kar,AITC,64871,2505,1.80,90.18
Contai South,,Suvendu Adhikari,AITC,68608,50.59,Satyendra Nath Panda,CPI,60028,8580,6.33,88.27
Cooch Behar North,,Dipak Chandra Sarkar,AIFB,67997,48.37,Mihir Goswami,AITC,36325,31672,22.53,85.33
Cooch Behar West,,Akshay Thakur,AIFB,79273,51.07,Abdul Jalil Ahmed,AITC,52587,26686,17.19,84.98
Cossipur,,Bandyopadhyay Tarak,AITC,26150,43.15,Salil Chatterjee,CPI(M),24514,1636,2.70,68.19
Dantan,,Nanda Gopal Battacharjee,CPI,83149,60.44,Bikram Chandra Pradhan,AITC,46285,36864,26.80,85.31
Darjeeling,,Pranay Rai,GNLF,58646,52.97,Amar Lama,IND,36636,22010,19.88,62.75
Daspur,,Sunil Adhikari,CPI(M),61298,49.32,Ajit Bhunia,AITC,58121,3177,2.56,81.97
Debra,,Sk. Jahangir Karim,CPI(M),80109,55.96,Mrigendra Nath Maiti,AITC,55638,24471,17.09,91.91
Deganga,,Dr. Mortoza Hossain,AIFB,61864,47.38,Mafidul Haque Sahaji,AITC,50327,11537,8.84,86.48
Dhakuria,,Kshiti Goswami,RSP,57669,47.73,Sougata Roy,AITC,56582,1087,0.90,69.98
Dhaniakhali,SC,Ajit Patra,AIFB,86874,63.35,Jitendra Nath Sarkar,AITC,41625,45249,33.00,87.02
Dhupguri,SC,Lakshmi Kanta Roy,CPI(M),66040,49.29,Ashok Kumar Barman,AITC,49175,16865,12.59,89.22
Diamond Harbour,,Rishi Halder,CPI(M),64005,47.50,Subhashis Chakraborty,AITC,58789,5216,3.87,79.06
Dinhata,,Ashok Mandal,AITC,66774,45.55,Udayan Guha,AIFB,63144,3630,2.48,82.63
Domjur,,Mohanta Chatterjee,CPI(M),101015,53.45,Rajib Banerjee,AITC,70106,30909,16.35,80.47
Domkal,,Anisur Rahaman,CPI(M),86079,51.88,Rejaul Karim (Manik),INC,76485,9594,5.78,91.37
Dubrajpur,SC,Ghosh Bhakti Pada,AIFB,75907,60.34,Sailen Mahata,AITC,23252,52655,41.86,83.20
Dum Dum,,Rekha Goswami,CPI(M),99054,53.96,Udayan Namboodiry,AITC,68816,30238,16.47,81.35
Durgapur-I,,Mrinal Banerjee,CPI(M),61924,59.90,Banshi Badan Karmakar,INC,20952,40972,39.63,75.50
Durgapur-II,,Biprendu Kumar Chakraborty,CPI(M),111818,54.78,Apurba Mukherjee,AITC,75625,36193,17.73,78.14
Egra,,Adhikari Sisir Kumar,AITC,67786,48.01,Sinha Prabodh Chandra,DSP(P),66196,1590,1.13,89.80
English Bazar,,Krishnendu Narayan Choudhury,INC,67576,46.26,Samar Roy,CPI(M),66670,906,0.62,82.04
Entally,,Hashim Abdul Halim,CPI(M),38934,49.59,Khalid Ebadullah,INC,19633,19301,24.58,61.71
Falakata,SC,Jogesh Ch. Barman,CPI(M),69910,50.99,Anil Adhikari,AITC,56596,13314,9.71,86.37
