Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Hansan,,Asit Kumar Mal,INC,73370,46.73,Kamal Hasan,RCPI(R),46918,26452,16.85,86.72
Haora,,Julfikar Molla,AITC,76627,45.70,Imtiaz Hossain,CPM,75503,1124,0.67,89.85
Hariharpara,,Insar Ali Biswas,CPM,58293,35.56,Niamot Sheikh,AITC,51935,6358,3.88,90.29
Haringhata,SC,Nilima Nag (Mallick),AITC,83366,49.45,Biswajit Paul,CPM,70363,13003,7.71,89.76
Haripal,,Becharam Manna,AITC,98146,53.70,Bharati Mukherjee,CPM,76073,22073,12.08,85.40
Harirampur,,Biplab Mitra,AITC,65099,47.44,Narayan Biswas,CPM,58032,7067,5.15,84.43
Harischandrapur,,Tajmul Hossain,AIFB,62019,46.19,Alam Mostaque,INC,59578,2441,1.82,83.62
Hemtabad,SC,Khagendra Nath Sinha,CPM,71553,45.51,Shekhar Chandra Roy,AITC,35849,35704,22.71,84.99
Hingalganj,SC,Anandamay Mandal,CPI,72741,45.75,Debes Mandal,AITC,71726,1015,0.64,85.93
Howrah Dakshin,,Brajamohan Majumder,AITC,101066,56.06,Krishna Kisor Ray(K.K.Ray),CPM,69644,31422,17.43,76.87
Howrah Madhya,,Arup Roy(Apu),AITC,103184,62.07,Arup Ray(Tukun),CPM,52514,50670,30.48,74.04
Howrah Uttar,,Asok Ghosh,AITC,61466,49.25,Nimai Samanta,CPM,41858,19608,15.71,72.48
Indas,SC,Gurupada Mete,AITC,85589,49.05,Santanu Kumar Bora,CPM,81584,4005,2.30,92.45
Islampur,,Abdul Karim Chowdhary,AITC,49326,41.48,Sayeda Farhat Afroz,CPM,38054,11272,9.48,79.17
Itahar,,Amal Acharjee,AITC,61707,43.95,Srikumar Mukherjee,CPI,54655,7052,5.02,85.55
Jadavpur,,Manish Gupta,AITC,103972,52.65,Buddhadeb Bhattacharjee,CPM,87288,16684,8.45,77.77
Jagatballavpur,,Abul Kasem Molla,AITC,102580,54.19,Kazi Jafar Ahmed,CPM,74800,27780,14.67,83.89
Jagatdal,,Parash Dutta,AITC,86388,58.80,Haripada Biswas,AIFB,50356,36032,24.53,84.98
Jaipur,,Dhirendra Nath Mahato,AIFB,62060,41.48,Shakti Pada Mahato,IND,51449,10611,7.09,78.81
Jalangi,,Abdur Razzak,CPM,85144,49.55,Idris Ali,AITC,47283,37861,22.03,89.11
Jalpaiguri,SC,Sukhbilas Barma,INC,86273,48.64,Gobinda Chandra Roy,AIFB,75222,11051,6.23,85.23
Jamalpur,SC,Ujjal Pramanick,AITC,84434,48.73,Samar Hazra,CPM,81891,2543,1.47,92.13
Jamuria,,Jahanara Khan,CPM,72411,52.82,Prabhat Kumar Chatterjee,AITC,58538,13873,10.12,78.20
Jangipara,,Snehasis Chakraborty,AITC,87133,50.54,Sudarsan Raychaudhuri,CPM,74057,13076,7.58,84.74
Jangipur,,Md. Sohrab,INC,68699,46.76,Purnima Bhattacharya,CPM,62363,6336,4.31,85.56
Jaynagar,SC,Tarun Kanti Naskar,SUCI,71566,49.38,Shyamali Halder,CPM,44976,26590,18.35,82.88
Jhargram,,Sukumar Hansda,AITC,69464,44.67,Amar Basu,CPM,54191,15273,9.82,84.34
Jorasanko,,Smita Bakshi,AITC,57970,51.11,Janki Singh,CPM,26461,31509,27.78,55.75
Kakdwip,,Manturam Pakhira,AITC,84483,51.46,Milan Bhattacharyya,CPM,73980,10503,6.40,91.01
Kalchini,ST,Wilson Champramary,IND,46455,30.05,Binay Bhusan Kerketta,RSP,39210,7245,4.69,84.57
Kaliaganj,SC,Pramatha Nath Ray,INC,84873,47.59,Nani Gopal Roy,CPM,77583,7290,4.09,87.91
Kaliganj,,Nasiruddin Ahamed(Lal),AITC,74091,47.33,Sankar Sarkar,RSP,56913,17178,10.97,84.04
Kalimpong,,Dr. Harka Bahadur Chettri,GOJAM,109102,87.36,Prakash Dahal,GNLF,7427,101675,81.41,75.06
Kalna,SC,Kundu Biswajit,AITC,85096,49.98,Sukul Chandra Sikdar,CPM,72459,12637,7.42,90.69
Kalyani,SC,Dr. Ramendra Nath Biswas,AITC,92322,51.55,Jyotsna Sarkar (Sikder),CPM,76632,15690,8.76,90.11
Kamarhati,,Madan Mitra,AITC,74112,57.96,Manash Mukherjee,CPM,49758,24354,19.05,79.02
Kandi,,Apurba Sarkar(David),INC,66513,46.10,Ainal Haque,CPI,58703,7810,5.41,80.75
Kanthi-Dakshn,,Adhikari Dibyendu,AITC,86933,57.12,Uttam Pradhan,CPI,58296,28637,18.82,86.91
Kanthi-Uttar,,Banasri Maity,AITC,91528,49.78,Chakradhar Maikap,CPM,83573,7955,4.33,90.97
Karandighi,,Gokul Roy,AIFB,57023,37.99,Subhas Goswami,INC,51245,5778,3.85,82.24
Karimpur,,Samarendranath Ghosh,CPM,82244,46.17,Dr. Ramendra Nath Sarkar,AITC,77159,5085,2.85,90.62
Kasba,,Ahmed Javed Khan,AITC,92460,53.81,Shatarup Ghosh,CPM,72571,19889,11.57,76.39
Kashipur,,Swapan Kumar Belthariya,AITC,69492,44.73,Subhas Chandra Mahata,CPM,65771,3721,2.39,82.50
Kashipur-Belgachhia,,Mala Saha,AITC,87408,61.68,Kaninika Ghosh (Bose),CPM,47124,40284,28.42,67.30
Katulpur,SC,Khan Soumitra,INC,83355,47.40,Purnima Bagdi,CPM,81922,1433,0.81,92.48
Katwa,,Rabindranath Chatterjee,INC,97951,52.53,Sudipta Bagchi,CPM,70426,27525,14.76,87.86
Keshiari,ST,Biram Mandi,CPM,76976,45.97,Shyam Charan Mandi,AITC,75939,1037,0.62,91.67
Keshpur,SC,Rameswar Doloi,CPM,103901,57.58,Rajani Kanta Doloi,INC,70059,33842,18.75,92.79
Ketugram,,Sekh Sahonawez,AITC,77323,45.70,Abul Kadar Syed,CPM,75724,1599,0.94,85.45
Khanakul,,Iqbal Ahmed,AITC,102450,55.56,Subhra Parui,CPM,74571,27879,15.12,84.03
Khandaghosh,SC,Nabin Chandra Bag,CPM,94284,52.11,Alok Kumar Majhi,AITC,81137,13147,7.27,92.82
Kharagpur,,Haque Nazmul,CPM,70178,46.78,Bilkis Khanam,AITC,67674,2504,1.67,89.88
Kharagpur Sadar,,Gyan Singh Sohanpal,INC,75425,55.06,Anil Kumar Das,CPM,43056,32369,23.63,70.20
Khardaha,,Amit Mitra,AITC,83608,56.49,Asim Kumar Dasgupta,CPM,57454,26154,17.67,87.24
Khargram,SC,Ashis Marjit,INC,74093,49.96,Goutam Mondal,CPM,65123,8970,6.05,85.74
Khejuri,SC,Ranajit Mondal,AITC,87833,53.11,Asim Kumar Mandal,SP,71673,16160,9.77,93.11
Kolkata Port,,Firhad Hakim,AITC,63866,48.64,Moinuddin Shams,AIFB,38833,25033,19.06,66.22
Krishna Nagar Uttar,,Abani Mohan Joardar,AITC,96677,56.69,Ghosh Subinay (Bhajan),CPM,61567,35110,20.59,84.85
Krishnaganj,SC,Sushil Biswas,AITC,96550,52.17,Barun Biswas,CPM,75616,20934,11.31,87.92
Krishnanagar Dakshin,,Ujjal Biswas,AITC,71392,46.38,Biswas Rama,CPM,60364,11028,7.16,88.38
Kulpi,,Jogoranjan Halder,AITC,76693,53.75,Sakuntala Paik,CPM,58414,18279,12.81,86.61
Kultali,SC,Ramsankar Halder,CPM,81297,48.60,Joy Krishna Halder,SUCI,76484,4813,2.88,88.99
Kulti,,Ujjal Chatterjee,AITC,77610,56.09,Acharya Maniklal,AIFB,49044,28566,20.65,73.60
Kumarganj,,Begam Mahamuda,AITC,62212,46.93,Khatun Mafuja,CPM,57994,4218,3.18,89.00
Kumargram,ST,Dasrath Tirkey,RSP,71545,40.84,Joachim Baxla,AITC,58964,12581,7.18,85.22
Kurseong,,Rohit Sharma,GOJAM,114297,74.00,Pemu Chhetri,GNLF,21201,93096,60.28,78.19
Kushmundi,SC,Narmada Chandra Roy,RSP,66368,47.42,Parthasarathi Sarkar,INC,62725,3643,2.60,89.73
Labpur,,Islam Monirul,AITC,78697,47.68,Nabanita Mukherjee,CPM,75691,3006,1.82,88.48
Lalgola,,Abu Hena,INC,74317,51.97,Md Yean Ali,CPM,58133,16184,11.32,88.69
Madarihat,ST,Kumari Kujur,RSP,42539,31.93,Manoj Tigga,BJP,34630,7909,5.94,82.53
Madhyamgram,,Rathin Ghosh,AITC,99841,57.18,Ranjit Chowdhury,AIFB,65173,34668,19.86,88.53
Magrahat Paschim,,Giasuddin Molla,AITC,66878,47.11,Dr. Abul Hasnat,CPM,54908,11970,8.43,83.91
Magrahat Purba,SC,Namita Saha,AITC,75217,49.68,Chandan Saha,CPM,66414,8803,5.81,85.27
Maheshtala,,Kasturi Das,AITC,92211,52.50,Sk.Md.Israil,CPM,67928,24283,13.82,81.71
Mahishadal,,Sudarsan Ghosh Dastidar,AITC,95640,55.29,Tamalika Ponda Seth.,CPM,67478,28162,16.28,91.11
Mal,ST,Bulu Chik Baraik,CPM,62037,39.69,Hiramon Oraon,INC,57821,4216,2.70,85.66
Malatipur,,Abdur Rahim Boxi,RSP,54794,43.44,Al-Beruni,IND,48093,6701,5.31,83.07
Maldaha,SC,Bhupendra Nath Halder (Arjun),INC,68155,46.55,Rahul Ranjan Das,CPM,57400,10755,7.35,86.35
Manbazar,ST,Sandhyarani Tudu,AITC,78520,47.02,Himani Hansda,CPM,73354,5166,3.09,83.26
Mandirbazar,SC,Jaydeb Haldar,AITC,83524,53.65,Dr. Sarat Chandra Halder,CPM,64883,18641,11.97,85.93
Mangalkote,,Sahajahan Choudhury,CPM,81316,46.22,Apurba Chaudhuri,AITC,81190,126,0.07,86.82
Manikchak,,Sabitri Mitra,AITC,64641,46.20,Ratna Bhattacharya,CPM,58424,6217,4.44,80.11
Maniktala,,Sadhan Pande,AITC,89039,60.05,Rupa Bagchi,CPM,52489,36550,24.65,72.96
Mathabhanga,SC,Binay Krishna Barman,AITC,78249,46.46,Ananta Roy,CPM,72925,5324,3.16,86.78
Matiaburz,,Mamtaj Begam,AITC,55003,41.56,Badruddoza Molla,CPM,48409,6594,4.98,72.62
Matigara-Naxalbari,SC,Sankar Malakar,INC,74334,45.19,Jharen Roy,CPM,67501,6833,4.15,84.76
Maynaguri,SC,Ananta Deb Adhikari,RSP,84887,48.71,Juthika Roy Basunia,AITC,68611,16276,9.34,87.75
Mayureswar,,Asok Ray,CPM,67478,42.31,Jatil Mondal,AITC,60958,6520,4.09,87.50
Medinipur,,Mrigendra Nath Maiti,AITC,103060,54.43,Santosh Rana,CPI,74840,28220,14.90,87.95
Mekliganj,SC,Adhikary Paresh Chandra,AIFB,72040,48.89,Jayanta Kumar Ray,INC,39408,32632,22.14,86.59
Memari,,Abul Hasem Mondal,AITC,89083,48.24,Debashis Ghosh,CPM,85905,3178,1.72,90.78
Minakhan,SC,Usha Rani Mondal,AITC,73533,48.66,Dilip Roy,CPM,66397,7136,4.72,91.82
Monteswar,,Chowdhury Md Hedayatullah,CPM,81822,47.24,Abu Ayesh Mondal,AITC,78524,3298,1.90,90.28
Mothabari,,Sabina Yeasmin,INC,47466,44.11,Naimuddin Sheikh,CPM,41446,6020,5.59,79.72
Moyna,,Bhushan Chandra Dolai,AITC,91038,50.95,Sk. Mujibur Rahaman,CPM,81081,9957,5.57,90.70
Murarai,,Nure Alam Chowdhury,AITC,77817,47.75,Elahi Kamre Dr,CPM,73414,4403,2.70,86.08
Murshidabad,,Shaoni Singha Roy,INC,75441,46.03,Bivas Chakraborty,AIFB,69089,6352,3.88,86.92
Nabadwip,,Pundarikakshya Saha,AITC,94117,53.45,Biswas Sumit,CPM,71282,22835,12.97,87.97
Nabagram,SC,Kanai Chandra Mondal,CPM,78703,48.98,Probal Sarkar,INC,71147,7556,4.70,87.62
Nagrakata,ST,Joseph Munda,INC,46537,30.27,Sukhmoith (Piting) Oraon,CPM,45774,763,0.50,83.72
Naihati,,Partha Bhowmick,AITC,75482,57.39,Ranjit Kundu,CPM,48012,27470,20.89,85.81
Nakashipara,,Kallol Khan,AITC,79644,48.63,Gayatri Sardar,CPM,63170,16474,10.06,87.47
Nalhati,,Abhijit Mukherjee,INC,76047,49.03,Dipak Chatterjee,AIFB,60887,15160,9.77,87.92
Nandakumar,,Sukumar De,AITC,89717,50.94,Brahmamay Nanda,SP,77850,11867,6.74,91.64
Nandigram,,Phiroja Bibi,AITC,103300,60.17,Paramananda Bharati,CPI,59660,43640,25.42,87.93
Nanoor,SC,Gadadhar Hazra,AITC,91818,49.21,Shyamali Pradhan,CPM,85955,5863,3.14,85.60
Naoda,,Abu Taher Khan,INC,80758,51.60,Jayanta Kumar Biswas,RSP,66963,13795,8.81,85.08
Narayangarh,,Surjya Kanta Mishra,CPM,89804,50.50,Atta Surja Kanta,AITC,82695,7109,4.00,92.75
Natabari,,Rabindra Nath Ghosh,AITC,81951,47.56,Tamser Ali,CPM,74386,7565,4.39,89.10
Nayagram,ST,Dulal Murmu,AITC,75656,50.34,Bhutnath Saren,CPM,59382,16274,10.83,85.88
Noapara,,Manju Basu,AITC,100369,59.03,Kusadhwaj Ghosh,CPM,59221,41148,24.20,82.91
Onda,,Arup Kumar Khan,AITC,75699,43.50,Tarapada Chakrabarti,AIFB,75103,596,0.34,87.20
Palashipara,,S.M. Sadi,CPM,73619,46.12,Manik Bhattacharjee,AITC,71967,1652,1.03,86.04
Panchla,,Gulsan Mullick,AITC,76628,45.76,Doli Roy,AIFB,64510,12118,7.24,81.02
Pandabeswar,,Gouranga Chatterjee,CPM,67240,49.69,Zahir Alam,AITC,59429,7811,5.77,80.51
Pandua,,Amjad Hossain Sk.,CPM,84830,46.64,Nargis Begum,AITC,84433,397,0.22,87.72
Panihati,,Nirmal Ghosh,AITC,88334,58.34,Ahibhusan (Dulal)Chakraborty,CPM,56902,31432,20.76,81.09
Panskura Paschim,,Omar Ali,AITC,93349,49.97,Nirmal Kumar Bera,CPI,84209,9140,4.89,88.25
Panskura Purba,,Biplab Roy Chowdhury,AITC,82957,50.71,Amiya Kumar Sahoo,CPM,69790,13167,8.05,87.90
Para,SC,Umapada Bauri,INC,62208,42.60,Dipak Bauri,CPM,61622,586,0.40,79.28
Patashpur,,Jyotirmoy Kar,AITC,84452,49.93,Makhan Lal Nayak,CPI,77802,6650,3.93,92.55
Patharpratima,,Samir Kumar Jana,AITC,95422,52.39,Jajneswar Das,CPM,80649,14773,8.11,91.31
Phansidewa,ST,Sunil Chandra Tirkey,INC,61388,42.55,Kisku Chhotan,CPM,59151,2237,1.55,87.49
Pingla,,Prabodh Chandra Sinha,DSP(P),84738,47.24,Ajit Maity,AITC,83504,1234,0.69,92.06
Purbasthali Dakshin,,Swapan Debnath,AITC,86039,49.72,Aleya Begam Sekh,CPM,70181,15858,9.16,90.47
Purbasthali Uttar,,Tapan Chaterjee,AITC,71107,42.63,Pradip Kumar Saha,CPM,68967,2140,1.28,88.08
Pursurah,,Parvez Rahman,AITC,107794,56.26,Saumendranath Bera,CPM,76104,31690,16.54,89.52
