Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Alipurduars,,Debaprasad Roy (Mithu),INC,79605,46.02,Kshiti Goswami,RSP,72822,6783,3.92,86.04
Amdanga,,Rafiqur Rahaman,AITC,87162,53.79,Abdus Sattar,CPM,65605,21557,13.30,90.98
Amta,,Asit Mitra,INC,88264,51.82,Rabindranath Mitra,CPM,74545,13719,8.05,82.39
Arambagh,,Krishna Chandra Santra,AITC,98011,53.37,Asit Kumar Malik,CPM,78448,19563,10.65,88.37
Asansol Dakshin,,Tapas Banerjee,AITC,89645,55.75,Ashok Kumar Mukherjee,CPM,61104,28541,17.75,78.66
Asansol Uttar,,Ghatak Moloy,AITC,96011,62.14,Ranu Roychowdhury,CPM,48218,47793,30.93,76.81
Ashokenagar,,Dhiman Roy,AITC,94451,55.39,Satyasebi Kar,CPM,66759,27692,16.24,88.31
Ausgram,SC,Basudev Mete,CPM,90863,52.21,Chanchal Kumar Mondal,INC,67767,23096,13.27,88.70
Baduria,,Abdul Gaffar Quazi,INC,89952,53.17,Md. Shelim Gain,CPM,66992,22960,13.57,89.77
Bagdaha,SC,Upendra Nath Biswas,AITC,91821,52.91,Mrinal Kanti Sikdar,AIFB,70865,20956,12.08,85.22
Baghmundi,,Nepal Mahata,INC,77458,49.48,Mangal Mahato,AIFB,59814,17644,11.27,81.53
Bagnan,,Arunava Sen (Raja),AITC,82730,53.55,Akkel Ali Khan,CPM,63460,19270,12.47,85.51
Baharampur,,Manoj Chakraborty,INC,91578,54.90,Tarit Kumar Brahmachari,RSP,48265,43313,25.96,80.92
Baisnab Nagar,,Isha Khan Choudhury,INC,62589,43.02,Biswanath Ghosh,CPM,57566,5023,3.45,84.33
Balagarh,SC,Asim Kumar Majhi,AITC,96254,52.35,Bhuban Pramanick,CPM,74671,21583,11.74,88.46
Balarampur,,Shantiram Mahato,AITC,65244,45.79,Gope Manindra,CPM,54716,10528,7.39,81.37
Bally,,Sultan Singh,AITC,52770,50.42,Kanika Ganguly,CPM,46170,6600,6.31,73.38
Ballygunge,,Subrata Mukherjee,AITC,88194,60.65,Dr. Fuad Halim,CPM,47009,41185,28.32,66.15
Balurghat,,Chakraborty Shankar,AITC,67495,54.27,Biswanath Choudhury,RSP,49204,18291,14.71,88.95
Bandwan,ST,Besra Susanta,CPM,87183,48.38,Sital Chandra Hembram,INC,65163,22020,12.22,80.52
Bangaon Dakshin,SC,Surajit Kumar Biswas,AITC,87677,53.71,Anuj Baran Sarkar,CPM,65788,21889,13.41,86.35
Bangaon Uttar,SC,Biswajit Das,AITC,89265,54.55,Dr. Biswajit Kumar Biswas,CPM,65645,23620,14.43,86.37
Bankura,,Kashinath Mishra,AITC,92835,53.93,Pratip Mukherjee,CPM,63745,29090,16.90,80.06
Barabani,,Bidhan Upadhyay,AITC,78628,52.92,Abhas Raychoudhuri,CPM,58051,20577,13.85,80.26
Baranagar,,Tapas Roy,AITC,89883,60.58,Sukumar Ghosh,RSP,53055,36828,24.82,79.46
Barasat,,Chiranjeet Chakrabarti,AITC,103954,58.28,Sanjib Chattopadhaya,AIFB,63743,40211,22.54,84.45
Bardhaman Dakshin,,Rabiranjan Chattopadhyay,AITC,107520,57.70,Nirupam Sen,CPM,70604,36916,19.81,86.47
Bardhaman Uttar,SC,Aparna Saha,CPM,98182,50.87,Nisith Kumar Malik,AITC,83949,14233,7.37,91.38
Barjora,,Asutosh Mukherjee,AITC,84457,47.69,Susmita Biswas,CPM,75966,8491,4.79,86.96
Barrackpur,,Silbhadra Datta,AITC,79515,60.02,Dr. Madhusudan Samanta,CPM,43392,36123,27.27,77.82
Baruipur Paschim,,Biman Banerjee,AITC,88187,57.54,Kanak Kanti Paria,CPM,56299,31888,20.81,84.41
Baruipur Purba,SC,Nirmal Chandra Mandal,AITC,83636,52.19,Bimal Mistry,CPM,65157,18479,11.53,84.77
Basanti,SC,Subhas Naskar,RSP,72871,49.07,Arnab Ray,INC,66636,6235,4.20,81.24
Basirhat-Dakshin,,Narayan Mukherjee,CPM,66914,35.94,Narayan Goswami,AITC,54514,12400,6.66,87.22
Basirhat-Uttar,,Mostafa Bin Quasem,CPM,75575,45.19,Sardar Amjad Ali,AITC,71632,3943,2.36,86.60
Behala Paschim,,Partha Chatterjee,AITC,127870,62.96,Anupam Debsarkar,CPM,68849,59021,29.06,77.83
Behala Purba,,Sovan Chatterjee,AITC,116709,60.28,Kumkum Chakraborti,CPM,68536,48173,24.88,79.55
Beldanga,,Safiujjaman Seikh,INC,67888,45.32,Md. Refatullah,RSP,54005,13883,9.27,82.03
Beliaghata,,Paresh Paul,AITC,93185,57.45,Anadi Kumar Sahu,CPM,61497,31688,19.54,70.54
Bhabanipur,,Subrata Bakshi,AITC,87903,64.77,Narayan Prasad Jain,CPM,37967,49936,36.79,63.77
Bhagabangola,,Chand Mohammad,SP,62862,38.63,Sagir Hossain,AITC,49528,13334,8.19,90.81
Bhagabanpur,,Ardhendu Maity,AITC,93945,51.15,Ranajit Manna,SP,84948,8997,4.90,92.31
Bhangar,,Badal Jamadar,CPM,81965,47.33,Arabul Islam,AITC,76859,5106,2.95,92.43
Bharatpur,,Id Mohammad,RSP,70658,47.78,Daliya Begum,INC,68729,1929,1.30,81.42
Bhatar,,Banamali Hazra,AITC,83883,47.29,Konar Srijit,CPM,83585,298,0.17,89.73
Bhatpara,,Arjun Singh,AITC,66938,70.94,Nepaldeb Bhattacharyya,CPM,22553,44385,47.04,76.40
Bidhan Nagar,,Sujit Bose,AITC,88642,59.53,Palash Das,CPM,52717,35925,24.13,74.35
Bijpur,,Subhranshu Roy,AITC,65479,51.49,Dr. Nirjharini Chakraborty,CPM,52867,12612,9.92,80.07
Binpur,ST,Dibakar Hansda,CPM,60728,41.17,Chunibala Hansda,JKP(N),53118,7610,5.16,82.02
Bishnupur,SC,Shyama Prasad Mukherjee,AITC,77662,50.30,Ghosh Swapan,CPM,67805,9857,6.38,84.47
Bishnupur,SC,Dilip Mondal,AITC,95912,53.92,Sudhin Sinha,CPM,70862,25050,14.08,84.47
Bolpur,,Chandra Nath Sinha,AITC,89394,50.51,Tapan Hore,RSP,72767,16627,9.39,87.75
Budge Budge,,Ashok Kumar Deb,AITC,99915,60.04,Hrishikesh Podder,CPM,53426,46489,27.94,83.30
Burwan,SC,Protima Rajak,INC,66304,47.09,Binoy Sarkar,RSP,65688,616,0.44,83.24
Canning Paschim,SC,Shyamal Mondal,AITC,81736,53.35,Jaydeb Purkait,CPM,62122,19614,12.80,86.12
Canning Purba,,Abdur Razzak Molla,CPM,85105,54.30,Ibrahim Molya,INC,63992,21113,13.47,90.58
Chakdaha,,Naresh Chandra Chaki,AITC,88771,51.20,Biswanath Gupta,CPM,74672,14099,8.13,90.27
Chakulia,,Ali Imran Ramz,AIFB,65265,52.13,Serajul Islam,INC,44852,20413,16.30,74.96
Champdani,,Muzaffar Khan,AITC,92476,57.16,Jibesh Chakraborty,CPM,56163,36313,22.45,77.29
Chanchal,,Asif Mehbub,INC,68586,48.69,Anjuman Ara Begam,CPM,54399,14187,10.07,82.23
Chandernagore,,Ashok Kumar Shaw,AITC,96430,60.76,Siba Prosad Bandyopadhyay,CPM,53391,43039,27.12,79.20
Chandipur,,Amiya Kanti Bhattacharjee (Kablu),AITC,88010,50.80,Bidyut Guchhait,CPM,76301,11709,6.76,91.78
Chanditala,,Swati Khandoker,AITC,86394,52.46,Azim Ali Md Sk,CPM,69474,16920,10.27,81.52
Chandrakona,SC,Chhaya Dolai,CPM,97280,48.39,Sibaram Das,AITC,95984,1296,0.64,92.87
Chapra,,Rukbanur Rahman,AITC,77435,47.14,Shamsul Islam Mollah,CPM,74802,2633,1.60,87.78
Chhatna,,Subhasis Batabyal,AITC,70340,45.58,Anath Bandhu Mondal,RSP,62576,7764,5.03,79.25
Chopra,,Hamidul Rahaman,IND,64289,44.62,Anwarul Haque,CPM,57719,6570,4.56,86.18
Chowrangee,,Sikha Chowdhury(Mitra),AITC,79450,71.90,Bimal Singh,RJD,21711,57739,52.25,54.42
Chunchura,,Asit Mazumder (Tapan),AITC,127206,56.90,Naren Dey,AIFB,82614,44592,19.95,84.73
Coochbehar Dakshin,,Akshay Thakur,AIFB,72028,47.04,Abdul Jalil Ahmed,AITC,69165,2863,1.87,83.71
Coochbehar Uttar,SC,Nagendra Nath Roy,AIFB,84825,45.11,Prasenjit Barman,AITC,82628,2197,1.17,85.96
Dabgram-Phulbari,,Goutam Deb,AITC,84649,48.29,Dilip Singh,CPM,73413,11236,6.41,83.49
Dantan,,Arun Mohapatra,CPI,79118,49.35,Shaibal Giri,AITC,74468,4650,2.90,89.31
Darjeeling,,Trilok Kumar Dewan,GOJAM,120532,78.51,Bim Subba,GNLF,13977,106555,69.41,70.44
Daspur,,Ajit Bhunia,AITC,109048,54.76,Sunil Adhikari,CPM,84121,24927,12.52,82.11
Debra,,Radhakanta Maiti,AITC,86215,50.57,Sk. Sorab Hossein,CPM,77402,8813,5.17,92.52
Deganga,,Dr. M. Nuruzzaman,AITC,78395,49.39,Dr. Mortoza Hossain,AIFB,61095,17300,10.90,90.29
Dhaniakhali,SC,Asima Patra,AITC,100529,51.18,Shrabani Sarkar,AIFB,84252,16277,8.29,88.26
Dhupguri,SC,Mamata Roy,CPM,73644,42.25,Mina Barman,AITC,69406,4238,2.43,86.88
Diamond Harbour,,Dipak Kumar Halder,AITC,87645,53.37,Subhra Sau,CPM,66871,20774,12.65,85.30
Dinhata,,Udayan Guha,AIFB,93050,50.52,Dr. Md. Fazle Haque,IND,63024,30026,16.30,82.96
Domjur,,Rajib Banerjee,AITC,101042,54.07,Mohanta Chatterjee,CPM,76056,24986,13.37,86.25
Domkal,,Anisur Rahaman,CPM,81812,47.22,Soumik Hossain,INC,78737,3075,1.77,89.52
Dubrajpur,SC,Bijoy Bagdi,AIFB,75347,47.67,Santoshi Saha,AITC,72634,2713,1.72,86.89
Dum Dum,,Bratya Basu,AITC,92635,57.50,Gautam Deb,CPM,61138,31497,19.55,80.82
Dum Dum Uttar,,Chandrima Bhattacharya,AITC,94676,53.43,Rekha Goswami,CPM,75650,19026,10.74,86.66
Durgapur Paschim,,Apurba Mukherjee,AITC,92454,51.94,Biprendu Kumar Chakraborty,CPM,75448,17006,9.55,84.79
Durgapur Purba,,Dr. Nikhil Kumar Banerjee,AITC,87050,50.32,Alpana Chowdhury,CPM,78484,8566,4.95,85.45
Egra,,Das Samares,AITC,99178,51.57,Hrishikesh Paria,DSP(P),83225,15953,8.29,87.66
English Bazar,,Krishnendu Narayan Choudhury,INC,89421,51.79,Samar Roy,CPM,67592,21829,12.64,82.80
Entally,,Swarna Kamal Saha,AITC,75891,56.24,Debesh Das,CPM,50895,24996,18.52,69.53
Falakata,SC,Anil Adhikari,AITC,77821,47.44,Rabindra Nath Barman,CPM,69775,8046,4.91,86.58
Falta,,Tamonash Ghosh,AITC,86966,55.61,Ardhendu Sekhar Bindu,CPM,59295,27671,17.70,85.64
Farakka,,Mainul Haque,INC,52780,38.77,Abdus Salam,CPM,48041,4739,3.48,88.92
Gaighata,SC,Manjul Krishna Thakur,AITC,91487,55.58,Manoj Kanti Biswas,CPI,66040,25447,15.46,88.41
Galsi,SC,Sunil Kumar Mondal,AIFB,92126,50.59,Joydeb Saha,AITC,81272,10854,5.96,89.01
Gangarampur,SC,Satyendra Nath Roy,AITC,65666,45.85,Nandalal Hazra,CPM,64998,668,0.47,89.75
Garbeta,,Ghosh Susanta,CPM,86047,52.23,Hema Choubey,INC,70977,15070,9.15,93.19
Gazole,SC,Sushil Chandra Ray,INC,74654,46.10,Gobinda Mandal,CPM,69070,5584,3.45,86.62
Ghatal,SC,Shankar Dolai,AITC,101355,52.24,Chhabi Pakhira,CPM,85078,16277,8.39,86.26
Goalpokhar,,Md. Ghulam Rabbani,INC,61313,49.05,Safiur Rahaman,AIFB,47900,13413,10.73,73.45
Goghat,SC,Karak Biswanath,AIFB,86514,49.04,Debasish Medda,INC,82249,4265,2.42,91.20
Gopiballavpur,,Chudamani Mahato,AITC,90070,56.70,Rabi Lal Maitra,CPM,58050,32020,20.16,89.36
Gosaba,SC,Jayanta Naskar,AITC,78840,51.00,Samarendra Nath Mandal,RSP,68158,10682,6.91,85.47
Habibpur,ST,Khagen Murmu,CPM,59286,37.60,Mohan Tudu,AITC,57028,2258,1.43,84.31
Habra,,Jyoti Priya Mallick,AITC,86218,55.00,Pranab Kumar Bhattacharyya,CPM,60826,25392,16.20,86.86
Haldia,SC,Seuli Saha,AITC,89573,51.34,Nityananda Bera.,CPM,77649,11924,6.83,92.48
