Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Bandwan,ST,Rajib Lochan Saren,AITC,104323,48.72,Besra Susanta,CPI(M),84016,20307,9.48,83.64
Bangaon Dakshin,SC,Surajit Kumar Biswas,AITC,92379,49.60,Ramendranath Audhya,CPI(M),65475,26904,14.44,83.66
Bangaon Uttar,SC,Biswajit Das,AITC,95822,51.18,Sushanta Bowali,FBL,62630,33192,17.73,81.96
Bankura,,Daripa Shampa,INC,83486,43.47,Minati Misra,AITC,82457,1029,0.54,78.94
Barabani,,Bidhan Upadhyay,AITC,77464,47.93,Shipra Mukherjee,CPI(M),53415,24049,14.88,78.72
Baranagar,,Tapas Roy,AITC,76531,50.11,Sukumar Ghosh,RCP,60431,16100,10.54,75.71
Barasat,,Chiranjeet Chakrabarti,AITC,99667,49.33,Chattopadhyay Sanjib,FBL,74668,24999,12.37,82.13
Bardhaman Dakshin,,Rabiranjan Chattopadhyay,AITC,91882,48.18,Ainul Haque,CPI(M),62444,29438,15.44,79.36
Bardhaman Uttar,SC,Nisith Kumar Malik,AITC,102886,48.18,Aparna Saha,CPI(M),91381,11505,5.39,87.26
Barjora,,Sujit Chakraborty,CPI(M),86873,44.36,Soham Chakraborty,AITC,86257,616,0.31,84.87
Barrackpur,,Silbhadra Datta,AITC,58109,41.01,Debasish Bhowmick,CPI(M),50790,7319,5.16,70.85
Baruipur Paschim,,Biman Banerjee,AITC,99945,55.41,Safiuddin Khan,CPI(M),63413,36532,20.25,85.54
Baruipur Purba,SC,Nirmal Chandra Mondal,AITC,92313,48.60,Sujoy Mistry,CPI(M),71951,20362,10.72,86.07
Basanti,SC,Gobinda Chandra Naskar,AITC,90522,51.14,Subhas Naskar,RCP,73915,16607,9.38,78.92
Basirhat-Dakshin,,Dipendu Biswas (Mithu),AITC,88085,41.03,Samik Bhattacharya,BJP,64027,24058,11.21,86.64
Basirhat-Uttar,,Rafikul Islam Mondal,CPI(M),97828,46.31,A.T.M. Abdullah (Rony),AITC,97336,492,0.23,89.01
Behala Paschim,,Partha Chatterjee,AITC,102114,46.85,Kaustav Chatterjee,CPI(M),93218,8896,4.08,74.90
Behala Purba,,Sovan Chatterjee,AITC,96621,48.26,Professor Ambikesh Mahapatra,IND,72327,24294,12.13,72.72
Beldanga,,Seikh Safiujjaman,INC,87017,50.06,Golam Kibria Mia,AITC,56736,30281,17.42,79.73
Beliaghata,,Paresh Paul,AITC,84843,53.88,Rajib Biswas,CPI(M),58664,26179,16.63,65.60
Bhabanipur,,Mamata Banerjee,AITC,65520,48.54,Deepa Dasmunshi,INC,40219,25301,18.74,66.61
Bhagabangola,,Mahasin Ali,CPI(M),105037,55.12,Abu Sufian Sarkar,AITC,68732,36305,19.05,85.63
Bhagabanpur,,Ardhendu Maity,AITC,111201,54.49,Hemangshu Shekhar Mahapatra,INC,79258,31943,15.65,88.16
Bhangar,,Abdur Razzak Molla,AITC,102087,50.16,Abdur Rasid Gazi,CPI(M),83963,18124,8.91,87.31
Bharatpur,,Kamalesh Chatterjee (Gopal),INC,59789,37.04,Khadem A Dastegir (Khadu),AITC,48772,11017,6.82,75.60
Bhatar,,Subhash Mondal,AITC,92544,47.37,Bamacharan Banerjee,CPI(M),86264,6280,3.21,86.28
Bhatpara,,Arjun Singh,AITC,59253,55.60,Jitendra Shaw (Jitu),IND,30318,28935,27.15,74.30
Bidhan Nagar,,Sujit Bose,AITC,66130,43.78,Arunava Ghosh,INC,59142,6988,4.63,67.58
Bijpur,,Subhranshu Roy,AITC,76842,62.33,Dr. Rabindra Nath Mukherjee,CPI(M),28888,47954,38.89,69.27
Binpur,ST,Khagendranath Hembram,AITC,95804,56.76,Dibakar Hansda,CPI(M),46481,49323,29.22,81.67
Bishnupur,SC,Tushar Kanti Bhattacharya,INC,76641,45.09,Shyamaprasad Mukherjee,AITC,75750,891,0.52,87.29
Bishnupur,SC,Dilip Mondal,AITC,107129,52.98,Aloke Sardar,CPI(M),76499,30630,15.15,81.64
Bolpur,,Chandranath Sinha,AITC,113258,56.08,Tapan Hore,RCP,63231,50027,24.77,83.05
Budge Budge,,Ashok Kumar Deb,AITC,84058,44.80,Sk. Mujibar Rahaman,INC,76899,7159,3.82,82.37
Burwan,SC,Protima Rajak,INC,55906,37.71,Shasthi Charan Mal,AITC,40904,15002,10.12,77.10
Canning Paschim,SC,Shyamal Mondal,AITC,93498,49.72,Arnab Roy,INC,74772,18726,9.96,84.98
Canning Purba,,Saokat Molla,AITC,115264,60.56,Ajijer Rahaman Molla,CPI(M),60230,55034,28.91,86.51
Chakdaha,,Kar Ratna Ghosh,AITC,94241,50.36,Biswanath Gupta,CPI(M),70588,23653,12.64,84.05
Chakulia,,Ali Imran Ramz,FBL,64185,43.11,Ashim Kumar Mridha,BJP,36656,27529,18.49,74.49
Champdani,,Abdul Mannan,INC,81330,45.02,Muzaffar Khan,AITC,74048,7282,4.03,76.16
Chanchal,,Asif Mehbub,INC,92590,54.52,Soumitra Ray,AITC,40222,52368,30.84,78.77
Chandernagore,,Indranil Sen,AITC,75727,45.88,Goutam Sarkar,CPI(M),73613,2114,1.28,77.58
Chandipur,,Amiyakanti Bhattacharjee,AITC,95982,48.87,Mangal Chand Pradhan,CPI(M),86328,9654,4.92,88.25
Chanditala,,Swati Khandoker,AITC,91874,49.13,Azim Ali Md. Sk.,CPI(M),77698,14176,7.58,78.21
Chandrakona,SC,Chhaya Dolai,AITC,117172,52.68,Santinath Bodhuk,CPI(M),78791,38381,17.26,89.03
Chapra,,Rukbanur Rahman,AITC,89556,48.28,Shamsul Islam Mollah,CPI(M),76093,13463,7.26,84.85
Chhatna,,Dhirendra Nath Layek,RCP,73648,42.98,Subhasis Batabyal,AITC,71231,2417,1.41,77.70
Chopra,,Hamidul Rahaman,AITC,74390,42.45,Akramul Hoque,CPI(M),57530,16860,9.62,83.78
Chowrangee,,Nayna Bandyopadhyay,AITC,55119,48.19,Somendranath Mitra,INC,41903,13216,11.56,55.96
Chunchura,,Asit Mazumder (Tapan),AITC,118501,50.23,Dr. Pranab Kumar Ghosh,FBL,88817,29684,12.58,80.39
Coochbehar Dakshin,,Mihir Goswami,AITC,82849,46.89,Debasis Banik,FBL,64654,18195,10.30,83.23
Coochbehar Uttar,SC,Nagendra Nath Roy,FBL,97629,44.15,Parimal Barman,AITC,85336,12293,5.56,85.76
Dabgram-Phulbari,,Goutam Deb,AITC,105769,48.20,Dilip Singh,CPI(M),81958,23811,10.85,84.53
Dantan,,Bikram Chandra Pradhan,AITC,95641,53.98,Sisir Kumar Patra,CPI,66381,29260,16.51,83.73
Darjeeling,,Amar Singh Rai,GOJAM,95386,62.12,Sarda Rai Subba,AITC,45473,49913,32.50,67.35
Daspur,,Mamata Bhunia,AITC,113603,53.34,Swapan Santra,CPI(M),84864,28739,13.49,77.82
Debra,,Selima Khatun (Bibi),AITC,90773,48.61,Jahangir Karim Sk,CPI(M),78865,11908,6.38,88.13
Deganga,,Rahima Mondal,AITC,97412,51.29,Md. Hasanoor Jaman Chowdhury,FBL,71422,25990,13.68,88.35
Dhaniakhali,SC,Asima Patra,AITC,125298,58.54,Pradip Majumdar,FBL,66654,58644,27.40,85.94
Dhupguri,SC,Mitali Roy,AITC,90781,44.18,Mamata Roy,CPI(M),71517,19264,9.38,86.80
Diamond Harbour,,Dipak Kumar Halder,AITC,96833,49.09,Dr. Abul Hasnat,CPI(M),81796,15037,7.62,87.34
Dinhata,,Udayan Guha,AITC,100732,45.58,Akshay Thakur,FBL,78939,21793,9.86,82.81
Domjur,,Rajib Banerjee,AITC,148768,68.61,Protima Dutta W/O - Late Tapan Kumar Dutta,IND,41067,107701,49.67,84.32
Domkal,,Anisur Rahaman Sarkar,CPI(M),71703,36.89,Soumik Hossain,AITC,64813,6890,3.54,83.57
Dubrajpur,SC,Chandra Naresh Bauri,AITC,94309,52.78,Bijoy Bagdi,FBL,54415,39894,22.32,82.80
Dum Dum,,Bratya Basu,AITC,81579,47.69,Palash Das,CPI(M),72263,9316,5.45,78.14
Dum Dum Uttar,,Tanmoy Bhattacharya,CPI(M),91959,47.22,Chandrima Bhattacharya,AITC,85410,6549,3.36,81.95
Durgapur Paschim,,Bishwanath Parial,INC,108533,55.52,Apurba Mukherjee,AITC,63709,44824,22.93,80.65
Durgapur Purba,,Santosh Debray,CPI(M),84200,45.09,Pradip Mazumdar,AITC,75069,9131,4.89,80.73
Egra,,Das Samares,AITC,113334,52.02,Shaikh Mahmud Hossain,DSP(P),87378,25956,11.91,83.52
English Bazar,,Nihar Ranjan Ghosh,IND,107183,52.83,Krishnendu Narayan Choudhury,AITC,67456,39727,19.58,82.89
Entally,,Swarna Kamal Saha,AITC,75841,52.81,Debesh Das,CPI(M),47853,27988,19.49,70.12
Falakata,SC,Anil Adhikari,AITC,86647,44.63,Kshitish Chandra Ray,CPI(M),69808,16839,8.67,86.13
Falta,,Tamonash Ghosh,AITC,94381,50.64,Bidhan Parui,CPI(M),70801,23580,12.65,87.81
Farakka,,Mainul Haque,INC,83314,51.63,Md. Mustafa,AITC,55147,28167,17.46,84.45
Gaighata,SC,Pulin Bihari Ray,AITC,93812,49.02,Kapil Krishna Thakur,CPI,64240,29572,15.45,86.50
Galsi,SC,Alok Kumar Majhi,AITC,95203,47.35,Nandalal Pondit,FBL,84432,10771,5.36,85.22
Gangarampur,SC,Goutam Das,INC,80401,47.03,Satyendra Nath Roy,AITC,69668,10733,6.28,86.72
Garbeta,,Ashis Chakraborty (Nanti),AITC,110501,59.94,Sorforaj Khan,CPI(M),49344,61157,33.17,89.25
Gazole,SC,Dipali Biswas,CPI(M),85949,44.11,Sushil Chandra Roy,AITC,65347,20602,10.57,83.73
Ghatal,SC,Shankar Dolai,AITC,107682,50.30,Kamal Chandra Dolui,CPI(M),88203,19479,9.10,83.46
Goalpokhar,,Md Gulam Rabbani,AITC,64869,44.38,Afjal Hosen,INC,57121,7748,5.30,73.74
Goghat,SC,Manas Majumdar,AITC,102958,53.06,Biswanath Karak,FBL,72072,30886,15.92,86.88
Gopiballavpur,,Churamani Mahata,AITC,100323,56.64,Pulin Bihari Baske,CPI(M),50765,49558,27.98,85.91
Gosaba,SC,Jayanta Naskar,AITC,90716,51.41,Uttam Kumar Saha,RCP,71045,19671,11.15,83.54
Habibpur,ST,Khagen Murmu,CPI(M),64095,35.49,Amal Kisku,AITC,61583,2512,1.39,81.41
Habra,,Jyoti Priya Mallick,AITC,101590,54.91,Ashis Kantha Mukherjee,CPI(M),55643,45947,24.84,85.60
Haldia,SC,Tapasi Mondal,CPI(M),101330,50.77,Madhurima Mandal,AITC,79837,21493,10.77,89.61
Hansan,,Miltan Rasid,INC,92619,50.59,Asit Kumar Mal,AITC,76465,16154,8.82,83.47
Haora,,Islam Sk.Nurul (Haji),AITC,113001,57.11,Imtiaz Hossain,CPI(M),70594,42407,21.43,85.71
Hariharpara,,Niamot Sheikh,AITC,71502,38.01,Alamgir Mir (Palash),INC,66499,5003,2.66,86.59
Haringhata,SC,Nilima Nag (Mallick),AITC,94530,49.91,Ajoy Das,CPI(M),73181,21349,11.27,86.56
Haripal,,Becharam Manna,AITC,110899,54.13,Jogiyananda Mishra,CPI(M),79424,31475,15.36,83.22
Harirampur,,Rafikul Islam,CPI(M),71447,43.26,Biplab Mitra,AITC,66943,4504,2.73,84.21
Harischandrapur,,Alam Mostaque,INC,60047,35.26,Tajmul Hossain,AITC,42190,17857,10.49,80.13
Hemtabad,SC,Debendra Nath Roy,CPI(M),80419,41.18,Sabita Kshetry,AITC,67283,13136,6.73,84.27
Hingalganj,SC,Debes Mandal,AITC,94753,53.56,Anandamay Mandal,CPI,64449,30304,17.13,83.56
Howrah Dakshin,,Brajamohan Majumder,AITC,93689,48.74,Arindam Basu (Babu),CPI(M),77495,16194,8.42,73.01
Howrah Madhya,,Arup Roy (Apu),AITC,91800,53.45,Amitabha Dutta,JD(U),38806,52994,30.86,70.59
Howrah Uttar,,Laxmi Ratan Shukla,AITC,61917,46.35,Santosh Kumar Pathak,INC,34958,26959,20.18,68.44
Indas,SC,Gurupada Mete,AITC,94940,49.06,Dilip Kumar Malik,CPI(M),76103,18837,9.73,88.73
Islampur,,Kanaia Lal Agarwal,INC,65559,44.46,Abdul Karim Chowdhary,AITC,57841,7718,5.23,78.71
Itahar,,Amal Acharjee,AITC,88507,52.81,Srikumar Mukherjee,CPI,69387,19120,11.41,83.05
Jadavpur,,Sujan Chakraborty,CPI(M),98977,49.51,Manish Gupta,AITC,84035,14942,7.47,74.15
Jagatballavpur,,Md. Abdul Ghani,AITC,103348,49.24,Baidyanath Basu,CPI(M),78667,24681,11.76,82.15
Jagatdal,,Parash Dutta,AITC,76712,47.11,Haripada Biswas,FBL,49667,27045,16.61,78.99
Jaipur,,Shaktipada Mahato,AITC,85026,48.17,Dhirendra Nath Mahato,FBL,76263,8763,4.96,80.85
Jalangi,,Abdur Razzak Mandal,CPI(M),96250,50.90,Alok Das,AITC,70983,25267,13.36,83.28
Jalpaiguri,SC,Sukhbilas Barma,INC,94553,46.16,Dharttimohan Roy,AITC,89396,5157,2.52,85.05
Jamalpur,SC,Samar Hazra,CPI(M),85491,45.14,Ujjal Pramanick,AITC,84068,1423,0.75,87.66
Jamuria,,Jahanara Khan,CPI(M),67214,44.14,V. Sivadasan (Dasu),AITC,59457,7757,5.09,76.85
Jangipara,,Snehasis Chakraborty,AITC,99324,51.55,Pobitra Singha Roy,CPI(M),75719,23605,12.25,82.55
Jangipur,,Jakir Hossain,AITC,66869,37.84,Somnath Singha Ray,CPI(M),46236,20633,11.67,83.08
Jaynagar,SC,Biswanath Das,AITC,64582,36.54,Sujit Patwari,INC,49531,15051,8.52,84.02
Jhargram,,Sukumar Hansda,AITC,99233,56.40,Chunibala Hansda,JPN,44005,55228,31.39,82.28
Jorasanko,,Smita Bakshi,AITC,44766,43.78,Rahul(Biswajit)Sinha,BJP,38476,6290,6.15,52.83
Kakdwip,,Manturam Pakhira,AITC,104750,54.02,Rafik Uddin Molla,INC,79831,24919,12.85,90.11
Kalchini,ST,Wilson Champramary,AITC,62061,35.91,Bishal Lama,BJP,60550,1511,0.87,79.87
Kaliaganj,SC,Pramatha Nath Ray,INC,112868,53.46,Basanta Roy,AITC,66266,46602,22.07,84.79
Kaliganj,,Hasanuzzaman Sk,INC,85125,46.23,Ahamed Nasiruddin (Lal),AITC,83898,1227,0.67,85.43
Kalimpong,,Sarita Rai,GOJAM,67693,50.28,Harka Bahadur Chettri,IND,56262,11431,8.49,70.73
Kalna,SC,Kundu Biswajit,AITC,97430,51.07,Sukul Chandra Sikdar,CPI(M),72169,25261,13.24,86.98
Kalyani,SC,Dr. Ramendra Nath Biswas,AITC,95795,51.24,Alakesh Das,CPI(M),69700,26095,13.96,80.70
Kamarhati,,Manash Mukherjee,CPI(M),62194,45.96,Madan Mitra,AITC,57996,4198,3.10,73.96
Kandi,,Apurba Sarkar (David),INC,81723,52.02,Dr. Santanu Sen,AITC,60943,20780,13.23,76.13
Kanthi-Dakshn,,Adhikari Dibyendu,AITC,93359,54.44,Uttam Pradhan,CPI,59469,33890,19.76,84.32
Kanthi-Uttar,,Banasri Maity,AITC,103783,50.52,Chakradhar Maikap,CPI(M),85207,18576,9.04,87.50
Karandighi,,Manodeb Sinha,AITC,54599,30.15,Gokul Roy,FBL,51367,3232,1.78,79.85
Karimpur,,Mahua Moitra,AITC,90989,45.57,Samarendranath Ghosh,CPI(M),75000,15989,8.01,88.16
Kasba,,Ahmed Javed Khan,AITC,91679,47.41,Shatarup Ghosh,CPI(M),79795,11884,6.15,73.03
Kashipur,,Swapan Kumar Beltharia,AITC,87483,49.46,Sudin Kisku,CPI(M),67905,19578,11.07,81.92
Kashipur-Belgachhia,,Mala Saha,AITC,72264,51.34,Kaninika Bose (Ghosh),CPI(M),46454,25810,18.34,64.15
Katulpur,SC,Shyamal Santra,AITC,98901,49.89,Akshay Santra,INC,77653,21248,10.72,89.45
Katwa,,Rabindranath Chatterjee,AITC,91489,45.27,Shyama Majumdar,INC,90578,911,0.45,83.52
Keshiari,ST,Paresh Murmu,AITC,104890,54.85,Biram Mandi,CPI(M),64141,40749,21.31,88.04
Keshpur,SC,Seuli Saha,AITC,146579,72.90,Rameswar Doloi,CPI(M),45428,101151,50.30,86.51
Ketugram,,Sekh Sahonawez,AITC,89441,47.28,Abul Kadar Syed,CPI(M),80712,8729,4.61,82.34
Khanakul,,Iqbal Ahmed,AITC,106878,55.05,Islam Ali Khan,CPI(M),63391,43487,22.40,77.57
Khandaghosh,SC,Nabin Chandra Bag,AITC,90151,46.50,Asima Roy,CPI(M),86949,3202,1.65,87.97
Kharagpur,,Dinen Roy,AITC,85630,49.12,Sk Sajahan Ali,CPI(M),66531,19099,10.96,87.81
Kharagpur Sadar,,Dilip Kumar Ghosh,BJP,61446,39.90,Gyan Singh Sohanpal,INC,55137,6309,4.10,70.88
Khardaha,,Amit Mitra,AITC,83688,50.60,Asim Kumar Dasgupta,CPI(M),62488,21200,12.82,81.51
Khargram,SC,Ashis Marjit,INC,88913,55.57,Madhab Chandra Marjit,AITC,55740,33173,20.73,78.83
Khejuri,SC,Ranajit Mondal,AITC,103699,55.06,Asim Kumar Mandal,IND,61214,42485,22.56,88.76
Kolkata Port,,Firhad Hakim,AITC,73459,54.06,Rakesh Singh,INC,46911,26548,19.54,63.13
Krishna Nagar Uttar,,Abani Mohan Joardar,AITC,82864,44.90,Asim Kumar Saha,INC,69949,12915,7.00,84.71
Krishnaganj,SC,Satyajit Biswas,AITC,114626,54.17,Mrinal Biswas(Mini),CPI(M),70698,43928,20.76,84.83
Krishnanagar Dakshin,,Ujjal Biswas,AITC,80711,46.25,Meghlal Sheikh,CPI(M),67897,12814,7.34,86.83
Kulpi,,Jogaranjan Halder,AITC,84036,50.03,Rejaul Haque Khan,CPI(M),72581,11455,6.82,86.70
Kultali,SC,Ram Sankar Halder,CPI(M),73932,37.66,Gopal Majhi,AITC,62212,11720,5.97,85.61
Kulti,,Ujjal Chatterjee,AITC,68952,41.51,Ajay Kumar Poddar,BJP,49464,19488,11.73,73.07
Kumarganj,,Toraf Hossain Mandal,AITC,64501,42.56,Mafuja Khatun,CPI(M),61005,3496,2.31,85.01
Kumargram,ST,James Kujur,AITC,77668,38.35,Manoj Kumar Oraon,RCP,71515,6153,3.04,83.88
Kurseong,,Rohit Sharma,GOJAM,86947,55.54,Shanta Chhetri,AITC,53221,33726,21.54,71.43
Kushmundi,SC,Narmada Chandra Roy,RCP,68965,43.22,Rekha Roy,AITC,65436,3529,2.21,83.74
Labpur,,Islam Monirul,AITC,101138,53.38,Syed Mahfuzul Karim (Mahfuz),CPI(M),70825,30313,16.00,87.11
Lalgola,,Abu Hena,INC,100110,61.28,Chand Mohammad,AITC,46635,53475,32.74,81.98
Madarihat,ST,Manoj Tigga,BJP,66989,45.50,Padam Lama,AITC,44951,22038,14.97,77.05
Madhyamgram,,Rathin Ghosh,AITC,110271,53.85,Tapas Majumder,INC,74467,35804,17.48,86.09
Magrahat Paschim,,Gias Uddin Molla,AITC,87482,51.26,Khalid Ebadullah,INC,71593,15889,9.31,84.95
Magrahat Purba,SC,Namita Saha,AITC,89486,49.10,Chandan Saha,CPI(M),79926,9560,5.25,86.11
Maheshtala,,Kasturi Das,AITC,93675,48.62,Samik Lahiri,CPI(M),81223,12452,6.46,80.11
Mahishadal,,Dr.Sudarsan Ghosh Dastidar,AITC,94827,48.60,Dr. Subrata Maiti,IND,78118,16709,8.56,88.18
Mal,ST,Bulu Chik Baraik,AITC,84877,45.29,Augustus Kerketta,CPI(M),66415,18462,9.85,82.82
Malatipur,,Alberuni Zulkarnain,INC,50643,32.96,Abdur Rahim Boxi,RCP,48043,2600,1.69,79.37
Maldaha,SC,Bhupendra Nath Halder,INC,88243,48.95,Dulal Sarkar (Babla),AITC,54934,33309,18.48,85.82
Manbazar,ST,Sandhya Rani Tudu,AITC,93642,49.38,Ipil Murmu,CPI(M),83967,9675,5.10,83.00
Mandirbazar,SC,Halder Joydeb,AITC,94339,53.15,Dr. Sarat Chandra Haldar,CPI(M),69400,24939,14.05,86.35
Mangalkote,,Chowdhury Siddiqullah,AITC,89812,46.40,Choudhury Sahajahan,CPI(M),77938,11874,6.13,84.97
Manikchak,,Md. Mottakin Alam,INC,78472,45.98,Sabitri Mitra,AITC,65869,12603,7.39,78.88
Maniktala,,Sadhan Pande,AITC,73157,51.72,Rajib Majumder,CPI(M),47846,25311,17.89,68.76
Mathabhanga,SC,Binay Krishna Barman,AITC,96383,48.58,Khagen Chandra Barman,CPI(M),64465,31918,16.09,86.49
Matiaburz,,Abdul Khaleque Molla,AITC,79749,50.62,Monirul Islam,CPI(M),61773,17976,11.41,70.66
Matigara-Naxalbari,SC,Sankar Malakar,INC,86441,41.95,Amar Sinha,AITC,67814,18627,9.04,84.71
Maynaguri,SC,Ananta Deb Adhikari,AITC,100837,48.86,Chhaya Dey (Roy),RCP,65930,34907,16.92,87.61
Mayureswar,,Abhijit Roy,AITC,89210,49.39,Arup Bag,CPI(M),50440,38770,21.46,85.37
Medinipur,,Mrigendra Nath Maiti,AITC,106774,51.08,Santosh Rana,CPI,73787,32987,15.78,83.61
Mekliganj,SC,Arghya Roy Pradhan (Bilu),AITC,74823,41.89,Paresh Chandra Adhikary,FBL,68186,6637,3.72,88.84
Memari,,Begum Nargis,AITC,94406,46.88,Debashis Ghosh,CPI(M),85523,8883,4.41,86.53
Minakhan,SC,Usha Rani Mondal,AITC,103210,56.90,Dinabandhu Mondal,CPI(M),60612,42598,23.49,86.89
Monteswar,,Sajal Panja,AITC,84134,44.68,Chaudhuri Md. Hedayatullah,CPI(M),83428,706,0.37,85.86
Mothabari,,Yeasmin Sabina,INC,69089,52.51,Md. Najrul Islam,AITC,30915,38174,29.02,79.88
Moyna,,Sangram Kumar Dolai,AITC,100980,50.55,Manik Bhowmik,INC,88856,12124,6.07,87.52
Murarai,,Abdur Rahaman (Liton),AITC,94661,47.92,Ali Mortuza Khan,INC,94381,280,0.14,84.39
Murshidabad,,Shaoni Singha Roy,INC,94579,47.72,Ashim Krishna Bhatta,AITC,69440,25139,12.68,84.68
Nabadwip,,Pundarikakshya Saha,AITC,102228,53.07,Sumit Biswas,CPI(M),66432,35796,18.58,84.98
Nabagram,SC,Kanai Chandra Mondal,CPI(M),99545,55.77,Dilip Saha,AITC,61102,38443,21.54,80.64
Nagrakata,ST,Sukra Munda,AITC,57306,33.64,Joseph Munda,INC,54078,3228,1.89,79.95
Naihati,,Partha Bhowmick,AITC,74057,51.45,Gargi Chatterjee,CPI(M),45429,28628,19.89,80.22
Nakashipara,,Kallol Khan,AITC,88032,46.95,Tanmay Ganguli,CPI(M),81782,6250,3.33,85.25
Nalhati,,Moinuddin Shams,AITC,83412,45.72,Dipak Chatterjee,FBL,73084,10328,5.66,84.40
Nandakumar,,Sukumar De,AITC,98549,48.60,Siraj Khan,IND,87683,10866,5.36,89.19
Nandigram,,Adhikari Suvendu,AITC,134623,67.22,Abdul Kabir Sekh,CPI,53393,81230,40.56,86.87
Nanoor,SC,Shyamali Pradhan,CPI(M),104374,51.13,Gadadhar Hazra,AITC,78644,25730,12.61,81.49
Naoda,,Abu Taher Khan,INC,62639,35.21,Masud Karim,AITC,43377,19262,10.83,81.97
Narayangarh,,Prodyut Kumar Ghosh,AITC,99311,49.84,Surjyakanta Mishra,CPI(M),85722,13589,6.82,90.50
Natabari,,Rabindra Nath Ghosh,AITC,93257,47.09,Tamser Ali,CPI(M),77100,16157,8.16,88.70
Nayagram,ST,Dulal Murmu,AITC,98395,57.35,Bakul Murmu,BJP,55140,43255,25.21,83.49
Noapara,,Madhusudan Ghose,INC,79548,42.78,Manju Basu,AITC,78453,1095,0.59,77.42
Onda,,Arup Kumar Khan,AITC,80603,41.65,Manik Mukherjee,FBL,69755,10848,5.61,84.93
Palashipara,,Tapas Kumar Saha,AITC,82127,45.48,S.M.Sadi,CPI(M),76568,5559,3.08,83.29
Panchla,,Gulsan Mullick,AITC,101126,53.50,Doli Roy,FBL,69199,31927,16.89,80.66
Pandabeswar,,Kumar Jitendra Tewari,AITC,68600,45.83,Gouranga Chatterjee,CPI(M),63130,5470,3.65,79.02
Pandua,,Sk. Amjad Hossain,CPI(M),91489,44.26,Saiyad Rahim Nabi,AITC,90097,1392,0.67,84.66
Panihati,,Nirmal Ghosh,AITC,73545,45.48,Sanmoy Bandyopadhyay,INC,70515,3030,1.87,77.59
Panskura Paschim,,Phiroja Bibi,AITC,92427,44.64,Chittaranjan Dasthakur,CPI,89282,3145,1.52,84.05
Panskura Purba,,Sk Ibrahim Ali,CPI(M),85334,47.23,Biplab Roy Chowdhury,AITC,80567,4767,2.64,83.87
Para,SC,Umapada Bauri,AITC,84337,48.60,Dinanath Bauri,CPI(M),70459,13878,8.00,80.43
Patashpur,,Jyotirmoy Kar,AITC,103567,54.83,Makhanlal Nayak,CPI,73679,29888,15.82,88.62
Patharpratima,,Samir Kumar Jana,AITC,107595,51.18,Phanibhushan Giri,INC,93802,13793,6.56,89.06
Phansidewa,ST,Sunil Chandra Tirkey,INC,73158,40.95,Carolus Lakra,AITC,66084,7074,3.96,86.94
