Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Alipurduars,,Sourav Chakraborty(Ghutish),AITC,89695,44.74,Biswa Ranjan Sarkar,INC,77737,11958,5.97,85.51
Amdanga,,Rafiqur Rahaman,AITC,96193,50.47,Abdus Sattar,CPI(M),73228,22965,12.05,88.78
Amta,,Asit Mitra,INC,89149,47.50,Tushar Kanti Sil,AITC,84645,4504,2.40,79.34
Arambagh,,Krishna Chandra Santra,AITC,107579,54.90,Asit Malik,CPI(M),71122,36457,18.60,84.50
Asansol Dakshin,,Tapas Banerjee,AITC,71515,39.37,Hemant Prabhakar,CPI(M),57232,14283,7.86,74.43
Asansol Uttar,,Moloy Ghatak,AITC,84715,46.84,Nirmal Karmakar,BJP,60818,23897,13.21,73.79
Ashokenagar,,Dhiman Roy,AITC,98042,50.44,Satyasebi Kar,CPI(M),75143,22899,11.78,86.44
Ausgram,SC,Abhedananda Thander,AITC,90450,46.85,Basudev Mete,CPI(M),84198,6252,3.24,85.97
Baduria,,Abdur Rahim Quazi,INC,98408,50.60,Amir Ali,AITC,76163,22245,11.44,87.48
Bagdaha,SC,Dulal Chandra Bar,INC,102026,49.96,Upendra Nath Biswas,AITC,89790,12236,5.99,80.06
Baghmundi,,Nepal Mahata,INC,88707,47.67,Samir Mahato,AITC,80120,8587,4.61,83.27
Bagnan,,Arunava Sen(Raja),AITC,97834,54.77,Mina Mukherjee Ghosh,CPI(M),67637,30197,16.91,85.08
Baharampur,,Manoj Chakraborty,INC,127762,69.19,Dr. Sujata Banerjee,AITC,35489,92273,49.97,78.73
Baisnab Nagar,,Swadhin Kumar Sarkar,BJP,70185,38.73,Azizul Haque,INC,65688,4497,2.48,86.05
Balagarh,SC,Ashim Kumar Majhi,AITC,96472,48.28,Panchu Gopal Mondal,CPI(M),78635,17837,8.93,84.49
Balarampur,,Shantiram Mahato,AITC,82086,47.80,Jagadish Mahato,INC,71882,10204,5.94,82.36
Bally,,Baishali Dalmiya,AITC,52702,47.65,Saumendranath Bera,CPI(M),37299,15403,13.93,70.60
Ballygunge,,Subrata Mukherjee,AITC,70083,46.56,Krishna Debnath,INC,54858,15225,10.12,63.36
Balurghat,,Biswanath Choudhury,RCP,60590,43.86,Chakravorti Shankar,AITC,59140,1450,1.05,86.10
